EVM,EVMP,DVM,DVMP,SVM,SVM1
08.8713e-05,00.0000e+00,08.8713e-01,00.0000e+00,01.0063e+01,00.0000e+00
01.7742e-04,00.0000e+00,08.8709e-01,00.0000e+00,02.0121e+01,00.0000e+00
02.6612e-04,00.0000e+00,08.8696e-01,00.0000e+00,03.0175e+01,00.0000e+00
03.5480e-04,00.0000e+00,08.8679e-01,00.0000e+00,04.0223e+01,00.0000e+00
04.4347e-04,00.0000e+00,08.8675e-01,00.0000e+00,05.0268e+01,00.0000e+00
05.3216e-04,00.0000e+00,08.8688e-01,00.0000e+00,06.0312e+01,00.0000e+00
06.2085e-04,00.0000e+00,08.8691e-01,00.0000e+00,07.0352e+01,00.0000e+00
07.0957e-04,00.0000e+00,08.8721e-01,00.0000e+00,08.0393e+01,00.0000e+00
07.9829e-04,00.0000e+00,08.8718e-01,00.0000e+00,09.0432e+01,00.0000e+00
08.8701e-04,00.0000e+00,08.8717e-01,00.0000e+00,01.0047e+02,00.0000e+00
