STEP,IT,ERRE,ERRS,SVM,AVG_NR_IT
1,1,3.6485E-05,2.5243E+00,2.5156E+00,5.4004E-01
1,2,7.2278E-05,6.5070E+00,1.4401E+00,5.4004E-01
1,3,6.1332E-05,1.0426E+01,4.1433E-01,5.4004E-01
1,4,3.5647E-05,5.4706E+00,4.3990E-01,5.4004E-01
1,5,1.9315E-05,4.2299E+00,7.7140E-01,5.4004E-01
1,6,1.1742E-05,2.7061E+00,7.5954E-01,5.4004E-01
1,7,1.1169E-05,1.6239E+00,5.4043E-01,5.4004E-01
1,8,1.3342E-05,3.9612E+00,2.9641E-01,5.4004E-01
1,9,1.2097E-05,5.5647E+00,2.1109E-01,5.4004E-01
1,10,8.1104E-06,2.7769E+00,2.6670E-01,5.4004E-01
1,11,5.2340E-06,1.9234E+00,3.1680E-01,5.4004E-01
1,12,3.9567E-06,1.4061E+00,3.4247E-01,5.4004E-01
1,13,3.2121E-06,8.4297E-01,3.3978E-01,5.4004E-01
1,14,2.7056E-06,9.8875E-01,3.0067E-01,5.4004E-01
1,15,2.2908E-06,1.3919E+00,2.2936E-01,5.4004E-01
1,16,1.8258E-06,1.3830E+00,1.4486E-01,5.4004E-01
1,17,1.3751E-06,1.6835E+00,7.1784E-02,5.4004E-01
1,18,1.0035E-06,4.2515E+00,2.7432E-02,5.4004E-01
1,19,7.6503E-07,5.2339E+00,1.7559E-02,5.4004E-01
1,20,6.6430E-07,1.4655E+00,4.3756E-02,5.4004E-01
1,21,5.7480E-07,7.3561E-01,7.8973E-02,5.4004E-01
1,22,4.3588E-07,4.2634E-01,1.0668E-01,5.4004E-01
1,23,3.2349E-07,2.5009E-01,1.1978E-01,5.4004E-01
1,24,2.6215E-07,2.1245E-01,1.2033E-01,5.4004E-01
1,25,2.0878E-07,1.8768E-01,1.1443E-01,5.4004E-01
1,26,1.5985E-07,1.4449E-01,1.0656E-01,5.4004E-01
1,27,1.2735E-07,1.3543E-01,9.8309E-02,5.4004E-01
1,28,1.0156E-07,1.2300E-01,9.0220E-02,5.4004E-01
1,29,7.9566E-08,8.7448E-02,8.2818E-02,5.4004E-01
1,30,6.4546E-08,7.4926E-02,7.6877E-02,5.4004E-01
1,31,5.1551E-08,7.2833E-02,7.3531E-02,5.4004E-01
1,32,3.9480E-08,5.3023E-02,7.3591E-02,5.4004E-01
1,33,3.1306E-08,3.8690E-02,7.6465E-02,5.4004E-01
1,34,2.5037E-08,3.3478E-02,8.0202E-02,5.4004E-01
1,35,1.9456E-08,2.4211E-02,8.2740E-02,5.4004E-01
1,36,1.6031E-08,1.7315E-02,8.3072E-02,5.4004E-01
1,37,1.3340E-08,1.5698E-02,8.1531E-02,5.4004E-01
1,38,1.0015E-08,1.2446E-02,7.9218E-02,5.4004E-01
1,39,7.6356E-09,9.1119E-03,7.7114E-02,5.4004E-01
1,40,6.5325E-09,8.7303E-03,7.5581E-02,5.4004E-01
1,41,5.3924E-09,7.4634E-03,7.4461E-02,5.4004E-01
1,42,4.2677E-09,5.0123E-03,7.3481E-02,5.4004E-01
1,43,3.6056E-09,4.1556E-03,7.2543E-02,5.4004E-01
1,44,2.9736E-09,3.7562E-03,7.1754E-02,5.4004E-01
1,45,2.2935E-09,2.7761E-03,7.1255E-02,5.4004E-01
1,46,1.8935E-09,2.4033E-03,7.1030E-02,5.4004E-01
1,47,1.6357E-09,2.3324E-03,7.0888E-02,5.4004E-01
1,48,1.3462E-09,1.7619E-03,7.0602E-02,5.4004E-01
1,49,1.1539E-09,1.3112E-03,7.0077E-02,5.4004E-01
1,50,1.0431E-09,1.2279E-03,6.9398E-02,5.4004E-01
2,1,2.6620E-05,2.3130E+00,7.5660E-01,5.4004E-01
2,2,8.7300E-06,4.0031E-01,1.1447E+00,5.4004E-01
2,3,2.0816E-06,2.6317E-01,1.2211E+00,5.4004E-01
2,4,4.0210E-06,4.9535E-01,1.0568E+00,5.4004E-01
2,5,6.7572E-06,5.5427E-01,7.6671E-01,5.4004E-01
2,6,6.9960E-06,7.5591E-01,4.6464E-01,5.4004E-01
2,7,5.2109E-06,1.5619E+00,2.2908E-01,5.4004E-01
2,8,2.9992E-06,2.9618E+00,8.6776E-02,5.4004E-01
2,9,1.7277E-06,7.4729E+00,1.8641E-02,5.4004E-01
