EVM,EVMP,DVM,DVMP,SVM,SVM1
07.8193e-05,00.0000e+00,07.8193e-01,00.0000e+00,06.9398e-02,00.0000e+00
01.5604e-04,00.0000e+00,07.7853e-01,00.0000e+00,01.2520e-01,00.0000e+00
02.3364e-04,00.0000e+00,07.7610e-01,00.0000e+00,01.7130e-01,00.0000e+00
03.1113e-04,00.0000e+00,07.7497e-01,00.0000e+00,02.1180e-01,00.0000e+00
03.8856e-04,00.0000e+00,07.7431e-01,00.0000e+00,02.4839e-01,00.0000e+00
04.6594e-04,00.0000e+00,07.7389e-01,00.0000e+00,02.8200e-01,00.0000e+00
05.4330e-04,00.0000e+00,07.7361e-01,00.0000e+00,03.1321e-01,00.0000e+00
06.2064e-04,00.0000e+00,07.7339e-01,00.0000e+00,03.4244e-01,00.0000e+00
06.9796e-04,00.0000e+00,07.7323e-01,00.0000e+00,03.6996e-01,00.0000e+00
07.7526e-04,00.0000e+00,07.7309e-01,00.0000e+00,03.9601e-01,00.0000e+00
