E11,E22,E33,E23,E13,E12,S11,S22,S33,S23,S13,S12,EP11,EP22,EP33,EP23,EP13,EP12,E_dot11,E_dot22,E_dot33,E_dot23,E_dot13,E_dot12,E_dotP11,E_dotP22,E_dotP33,E_dotP23,E_dotP13,E_dotP12,EVM,EPVM,DVM,DPVM,SVM
-1.0000e-04,04.1759e-06,02.7037e-05,00.0000e+00,00.0000e+00,00.0000e+00,-6.7421e-02,02.9182e-03,08.3297e-04,-1.8963e-03,05.5373e-19,-1.3044e-19,00.0000e+00,00.0000e+00,00.0000e+00,00.0000e+00,00.0000e+00,00.0000e+00,-1.0000e+00,04.1759e-02,02.7037e-01,00.0000e+00,00.0000e+00,00.0000e+00,00.0000e+00,00.0000e+00,00.0000e+00,00.0000e+00,00.0000e+00,00.0000e+00,07.8193e-05,00.0000e+00,07.8193e-01,00.0000e+00,06.9398e-02
-2.0000e-04,06.5926e-06,05.4210e-05,00.0000e+00,00.0000e+00,00.0000e+00,-1.2241e-01,04.0950e-03,01.2502e-03,-2.6803e-03,01.2209e-18,09.5217e-19,00.0000e+00,00.0000e+00,00.0000e+00,00.0000e+00,00.0000e+00,00.0000e+00,-1.0000e+00,02.4167e-02,02.7173e-01,00.0000e+00,00.0000e+00,00.0000e+00,00.0000e+00,00.0000e+00,00.0000e+00,00.0000e+00,00.0000e+00,00.0000e+00,01.5604e-04,00.0000e+00,07.7853e-01,00.0000e+00,01.2520e-01
-3.0000e-04,07.8162e-06,08.1424e-05,00.0000e+00,00.0000e+00,00.0000e+00,-1.6817e-01,04.6192e-03,01.4250e-03,-3.1132e-03,-2.1374e-20,02.4013e-18,00.0000e+00,00.0000e+00,00.0000e+00,00.0000e+00,00.0000e+00,00.0000e+00,-1.0000e+00,01.2235e-02,02.7214e-01,00.0000e+00,00.0000e+00,00.0000e+00,00.0000e+00,00.0000e+00,00.0000e+00,00.0000e+00,00.0000e+00,00.0000e+00,02.3364e-04,00.0000e+00,07.7610e-01,00.0000e+00,01.7130e-01
-4.0000e-04,08.5125e-06,01.0864e-04,00.0000e+00,00.0000e+00,00.0000e+00,-2.0849e-01,04.8919e-03,01.5272e-03,-3.3293e-03,04.0475e-18,-1.4588e-18,00.0000e+00,00.0000e+00,00.0000e+00,00.0000e+00,00.0000e+00,00.0000e+00,-1.0000e+00,06.9632e-03,02.7213e-01,00.0000e+00,00.0000e+00,00.0000e+00,00.0000e+00,00.0000e+00,00.0000e+00,00.0000e+00,00.0000e+00,00.0000e+00,03.1113e-04,00.0000e+00,07.7497e-01,00.0000e+00,02.1180e-01
-5.0000e-04,08.9274e-06,01.3584e-04,00.0000e+00,00.0000e+00,00.0000e+00,-2.4498e-01,05.0476e-03,01.5923e-03,-3.4449e-03,-3.0928e-18,01.5177e-18,00.0000e+00,00.0000e+00,00.0000e+00,00.0000e+00,00.0000e+00,00.0000e+00,-1.0000e+00,04.1487e-03,02.7200e-01,00.0000e+00,00.0000e+00,00.0000e+00,00.0000e+00,00.0000e+00,00.0000e+00,00.0000e+00,00.0000e+00,00.0000e+00,03.8856e-04,00.0000e+00,07.7431e-01,00.0000e+00,02.4839e-01
-6.0000e-04,09.1785e-06,01.6302e-04,00.0000e+00,00.0000e+00,00.0000e+00,-2.7852e-01,05.1440e-03,01.6370e-03,-3.5107e-03,03.3983e-18,01.3555e-17,00.0000e+00,00.0000e+00,00.0000e+00,00.0000e+00,00.0000e+00,00.0000e+00,-1.0000e+00,02.5112e-03,02.7183e-01,00.0000e+00,00.0000e+00,00.0000e+00,00.0000e+00,00.0000e+00,00.0000e+00,00.0000e+00,00.0000e+00,00.0000e+00,04.6594e-04,00.0000e+00,07.7389e-01,00.0000e+00,02.8200e-01
-7.0000e-04,09.3264e-06,01.9019e-04,00.0000e+00,00.0000e+00,00.0000e+00,-3.0970e-01,05.2085e-03,01.6697e-03,-3.5505e-03,-7.7259e-18,-1.1996e-18,00.0000e+00,00.0000e+00,00.0000e+00,00.0000e+00,00.0000e+00,00.0000e+00,-1.0000e+00,01.4792e-03,02.7166e-01,00.0000e+00,00.0000e+00,00.0000e+00,00.0000e+00,00.0000e+00,00.0000e+00,00.0000e+00,00.0000e+00,00.0000e+00,05.4330e-04,00.0000e+00,07.7361e-01,00.0000e+00,03.1321e-01
-8.0000e-04,09.4041e-06,02.1734e-04,00.0000e+00,00.0000e+00,00.0000e+00,-3.3889e-01,05.2549e-03,01.6950e-03,-3.5761e-03,-1.4335e-17,04.4641e-18,00.0000e+00,00.0000e+00,00.0000e+00,00.0000e+00,00.0000e+00,00.0000e+00,-1.0000e+00,07.7636e-04,02.7152e-01,00.0000e+00,00.0000e+00,00.0000e+00,00.0000e+00,00.0000e+00,00.0000e+00,00.0000e+00,00.0000e+00,00.0000e+00,06.2064e-04,00.0000e+00,07.7339e-01,00.0000e+00,03.4244e-01
-9.0000e-04,09.4303e-06,02.4448e-04,00.0000e+00,00.0000e+00,00.0000e+00,-3.6640e-01,05.2904e-03,01.7152e-03,-3.5936e-03,01.9246e-18,05.7438e-18,00.0000e+00,00.0000e+00,00.0000e+00,00.0000e+00,00.0000e+00,00.0000e+00,-1.0000e+00,02.6276e-04,02.7139e-01,00.0000e+00,00.0000e+00,00.0000e+00,00.0000e+00,00.0000e+00,00.0000e+00,00.0000e+00,00.0000e+00,00.0000e+00,06.9796e-04,00.0000e+00,07.7323e-01,00.0000e+00,03.6996e-01
-1.0000e-03,09.4168e-06,02.7160e-04,00.0000e+00,00.0000e+00,00.0000e+00,-3.9243e-01,05.3187e-03,01.7318e-03,-3.6061e-03,01.5474e-19,-2.7507e-19,00.0000e+00,00.0000e+00,00.0000e+00,00.0000e+00,00.0000e+00,00.0000e+00,-1.0000e+00,-1.3505e-04,02.7127e-01,00.0000e+00,00.0000e+00,00.0000e+00,00.0000e+00,00.0000e+00,00.0000e+00,00.0000e+00,00.0000e+00,00.0000e+00,07.7526e-04,00.0000e+00,07.7309e-01,00.0000e+00,03.9601e-01
