Cores, N, Time
32,4000,3.03
32,4000,3.02
32,4000,3.02
16,4000,5.68
16,4000,5.67
16,4000,5.67
8,4000,11.01
8,4000,10.98
8,4000,10.99
4,4000,21.78
4,4000,21.78
4,4000,21.78
2,4000,46.04
2,4000,46.06
2,4000,46.09
1,4000,92.38
1,4000,92.41
1,4000,92.55
