N, Prob, K, t1, t2, t3, total_time, distance
500, 0.00000, 6, 0.00,0.03,0.00, 0.03, 21.252000
500, 0.00000, 6, 0.00,0.02,0.00, 0.03, 21.252000
500, 0.00000, 6, 0.00,0.02,0.00, 0.03, 21.252000
1000, 0.00000, 6, 0.00,0.15,0.00, 0.15, 42.084000
1000, 0.00000, 6, 0.00,0.14,0.00, 0.15, 42.084000
1000, 0.00000, 6, 0.00,0.14,0.00, 0.15, 42.084000
2000, 0.00000, 6, 0.01,1.06,0.00, 1.07, 83.750500
2000, 0.00000, 6, 0.01,1.05,0.00, 1.06, 83.750500
2000, 0.00000, 6, 0.01,1.06,0.00, 1.07, 83.750500
3000, 0.00000, 6, 0.02,3.41,0.00, 3.43, 125.416667
3000, 0.00000, 6, 0.02,3.40,0.00, 3.42, 125.416667
3000, 0.00000, 6, 0.02,3.41,0.00, 3.44, 125.416667
3500, 0.00000, 6, 0.03,5.70,0.00, 5.73, 146.250286
3500, 0.00000, 6, 0.03,5.56,0.00, 5.59, 146.250286
3500, 0.00000, 6, 0.03,5.76,0.00, 5.79, 146.250286
4000, 0.00000, 6, 0.04,9.21,0.00, 9.25, 167.083500
4000, 0.00000, 6, 0.04,8.96,0.00, 9.00, 167.083500
4000, 0.00000, 6, 0.04,8.87,0.00, 8.91, 167.083500
5000, 0.00000, 6, 0.06,16.77,0.01, 16.83, 208.750200
5000, 0.00000, 6, 0.06,17.28,0.01, 17.35, 208.750200
5000, 0.00000, 6, 0.06,17.03,0.01, 17.10, 208.750200
6000, 0.00000, 6, 0.08,28.38,0.01, 28.47, 250.416667
6000, 0.00000, 6, 0.08,28.36,0.01, 28.46, 250.416667
6000, 0.00000, 6, 0.08,28.42,0.01, 28.52, 250.416667
