N, Prob, K, t1, t2, t3, total_time, distance
500, 0.00000, 6, 0.01,0.00,0.01, 0.02, 21.252000
500, 0.00000, 6, 0.01,0.00,0.01, 0.02, 21.252000
500, 0.00000, 6, 0.01,0.00,0.01, 0.02, 21.252000
1000, 0.00000, 6, 0.01,0.00,0.05, 0.06, 42.084000
1000, 0.00000, 6, 0.01,0.00,0.05, 0.06, 42.084000
1000, 0.00000, 6, 0.01,0.00,0.05, 0.06, 42.084000
2000, 0.00000, 6, 0.01,0.15,0.11, 0.27, 83.750500
2000, 0.00000, 6, 0.01,0.09,0.10, 0.20, 83.750500
2000, 0.00000, 6, 0.01,0.09,0.10, 0.20, 83.750500
4000, 0.00000, 6, 0.01,1.12,0.38, 1.51, 167.083500
4000, 0.00000, 6, 0.01,1.12,0.38, 1.51, 167.083500
4000, 0.00000, 6, 0.01,1.12,0.38, 1.51, 167.083500
6000, 0.00000, 6, 0.01,4.17,0.86, 5.04, 250.416667
6000, 0.00000, 6, 0.01,4.17,0.86, 5.04, 250.416667
6000, 0.00000, 6, 0.01,4.17,0.86, 5.04, 250.416667
8000, 0.00000, 6, 0.01,10.37,1.52, 11.90, 333.750125
8000, 0.00000, 6, 0.01,10.37,1.53, 11.90, 333.750125
8000, 0.00000, 6, 0.01,10.37,1.53, 11.90, 333.750125
10000, 0.00000, 6, 0.01,20.82,2.38, 23.21, 417.083400
10000, 0.00000, 6, 0.01,20.82,2.38, 23.21, 417.083400
10000, 0.00000, 6, 0.01,20.82,2.38, 23.21, 417.083400
