STEP,IT,ERRE,ERRS,SVM,AVG_NR_IT
1,1,1.8884E-06,2.0250E-01,7.9163E+00,1.8188E+00
1,2,2.6246E-05,1.5856E+01,9.8110E+00,1.8188E+00
1,3,1.2517E-05,6.7896E+00,1.1101E+01,1.8188E+00
1,4,5.5377E-07,4.8680E-02,1.0925E+01,1.8188E+00
1,5,4.0700E-06,2.1400E+00,1.0067E+01,1.8188E+00
1,6,1.8379E-06,1.0678E+00,9.5325E+00,1.8188E+00
1,7,1.0254E-07,9.2583E-03,9.6164E+00,1.8188E+00
1,8,6.4640E-07,3.1795E-01,9.9860E+00,1.8188E+00
1,9,2.9257E-07,1.4104E-01,1.0235E+01,1.8188E+00
1,10,1.0654E-08,1.1149E-03,1.0237E+01,1.8188E+00
1,11,8.5217E-08,4.5248E-02,1.0118E+01,1.8188E+00
1,12,4.0776E-08,2.0077E-02,1.0031E+01,1.8188E+00
1,13,2.4280E-09,3.3090E-04,1.0029E+01,1.8188E+00
1,14,1.1986E-08,6.9232E-03,1.0069E+01,1.8188E+00
1,15,5.4469E-09,2.9601E-03,1.0095E+01,1.8188E+00
1,16,5.2106E-10,4.6714E-05,1.0091E+01,1.8188E+00
1,17,2.0223E-09,1.0038E-03,1.0072E+01,1.8188E+00
1,18,1.0125E-09,4.4089E-04,1.0061E+01,1.8188E+00
1,19,2.8767E-10,2.1197E-05,1.0061E+01,1.8183E+00
1,20,4.6551E-10,1.5318E-04,1.0067E+01,1.8188E+00
1,21,2.8024E-10,7.0486E-05,1.0071E+01,1.8188E+00
1,22,1.6692E-10,1.1043E-05,1.0070E+01,1.8029E+00
1,23,1.8983E-10,2.8663E-05,1.0066E+01,1.8188E+00
1,24,1.5127E-10,1.6085E-05,1.0064E+01,1.8188E+00
1,25,1.2026E-10,7.9725E-06,1.0063E+01,1.7425E+00
2,1,2.8111E-05,8.6618E+00,1.3906E+01,1.8188E+00
2,2,1.1504E-05,4.1007E-01,1.6875E+01,1.8188E+00
2,3,8.5955E-06,1.3150E+00,1.9065E+01,1.8188E+00
2,4,2.5710E-06,3.7438E-01,2.0105E+01,1.8188E+00
2,5,5.3248E-07,6.9679E-02,2.0190E+01,1.8188E+00
2,6,6.3950E-07,2.2699E-01,1.9932E+01,1.8188E+00
2,7,1.5224E-07,5.9727E-02,1.9810E+01,1.8188E+00
