STEP,IT,ERRE,ERRS,SVM,AVG_NR_IT
2,8,3.8380E-08,4.8808E-03,1.9916E+01,1.8188E+00
2,9,1.1315E-07,2.8657E-02,2.0095E+01,1.8188E+00
2,10,4.0276E-08,7.5140E-03,2.0193E+01,1.8188E+00
2,11,7.6843E-09,1.3037E-03,2.0187E+01,1.8188E+00
2,12,1.2565E-08,4.5324E-03,2.0141E+01,1.8188E+00
2,13,4.1864E-09,1.1080E-03,2.0115E+01,1.8188E+00
2,14,1.5293E-09,1.9814E-04,2.0119E+01,1.8188E+00
2,15,2.4483E-09,7.0979E-04,2.0135E+01,1.8188E+00
2,16,1.0692E-09,1.9883E-04,2.0141E+01,1.8188E+00
2,17,6.3037E-10,4.0130E-05,2.0135E+01,1.8188E+00
2,18,7.0959E-10,1.0595E-04,2.0127E+01,1.8188E+00
2,19,4.5984E-10,3.7869E-05,2.0122E+01,1.8188E+00
2,20,3.6280E-10,1.8598E-05,2.0123E+01,1.8188E+00
2,21,3.4354E-10,2.6905E-05,2.0126E+01,1.8188E+00
2,22,2.8198E-10,1.5249E-05,2.0126E+01,1.8185E+00
2,23,2.5077E-10,1.1177E-05,2.0125E+01,1.7988E+00
2,24,2.3350E-10,1.1476E-05,2.0122E+01,1.8185E+00
2,25,2.0932E-10,9.3483E-06,2.0121E+01,1.8019E+00
3,1,1.4054E-05,5.0279E+00,2.3963E+01,1.8188E+00
3,2,5.7495E-06,2.5679E-01,2.6931E+01,1.8188E+00
3,3,4.2969E-06,8.6089E-01,2.9120E+01,1.8188E+00
3,4,1.2856E-06,2.4970E-01,3.0160E+01,1.8188E+00
3,5,2.6619E-07,4.6467E-02,3.0245E+01,1.8188E+00
3,6,3.1985E-07,1.5085E-01,2.9987E+01,1.8188E+00
3,7,7.6272E-08,3.9636E-02,2.9864E+01,1.8188E+00
3,8,1.9255E-08,3.2466E-03,2.9970E+01,1.8188E+00
3,9,5.6633E-08,1.9110E-02,3.0149E+01,1.8188E+00
3,10,2.0216E-08,5.0271E-03,3.0247E+01,1.8188E+00
3,11,3.9295E-09,8.7336E-04,3.0241E+01,1.8188E+00
3,12,6.3731E-09,3.0256E-03,3.0195E+01,1.8188E+00
3,13,2.1738E-09,7.4253E-04,3.0168E+01,1.8188E+00
3,14,8.3159E-10,1.3645E-04,3.0172E+01,1.8188E+00
3,15,1.2844E-09,4.7797E-04,3.0187E+01,1.8188E+00
3,16,5.9327E-10,1.3663E-04,3.0193E+01,1.8188E+00
3,17,3.7287E-10,2.9985E-05,3.0187E+01,1.8188E+00
3,18,4.1002E-10,7.3553E-05,3.0178E+01,1.8188E+00
3,19,2.8130E-10,2.8120E-05,3.0174E+01,1.8188E+00
3,20,2.2898E-10,1.5268E-05,3.0175E+01,1.8188E+00
3,21,2.1653E-10,2.0711E-05,3.0177E+01,1.8188E+00
3,22,1.8374E-10,1.2749E-05,3.0177E+01,1.8188E+00
3,23,1.6642E-10,9.8425E-06,3.0175E+01,1.7902E+00
4,1,9.3687E-06,3.5419E+00,3.4017E+01,1.8188E+00
4,2,3.8290E-06,1.8664E-01,3.6983E+01,1.8188E+00
4,3,2.8614E-06,6.3882E-01,3.9172E+01,1.8188E+00
4,4,8.5707E-07,1.8734E-01,4.0211E+01,1.8188E+00
4,5,1.7740E-07,3.4754E-02,4.0297E+01,1.8188E+00
4,6,2.1302E-07,1.1278E-01,4.0038E+01,1.8188E+00
4,7,5.0929E-08,2.9659E-02,3.9916E+01,1.8188E+00
4,8,1.2852E-08,2.4216E-03,4.0021E+01,1.8188E+00
4,9,3.7748E-08,1.4313E-02,4.0199E+01,1.8188E+00
4,10,1.3524E-08,3.7793E-03,4.0297E+01,1.8188E+00
4,11,2.6688E-09,6.5549E-04,4.0291E+01,1.8188E+00
4,12,4.2954E-09,2.2679E-03,4.0244E+01,1.8188E+00
4,13,1.4961E-09,5.5934E-04,4.0217E+01,1.8188E+00
4,14,5.9357E-10,1.0489E-04,4.0222E+01,1.8188E+00
4,15,8.9137E-10,3.6104E-04,4.0237E+01,1.8188E+00
4,16,4.3051E-10,1.0514E-04,4.0242E+01,1.8188E+00
4,17,2.8300E-10,2.4618E-05,4.0236E+01,1.8188E+00
4,18,3.0640E-10,5.7067E-05,4.0227E+01,1.8188E+00
4,19,2.1864E-10,2.3044E-05,4.0223E+01,1.8188E+00
4,20,1.8168E-10,1.3401E-05,4.0223E+01,1.8188E+00
4,21,1.7184E-10,1.7423E-05,4.0225E+01,1.8188E+00
4,22,1.4891E-10,1.1347E-05,4.0225E+01,1.8188E+00
4,23,1.3645E-10,9.0488E-06,4.0223E+01,1.7830E+00
5,1,7.0266E-06,2.7342E+00,4.4065E+01,1.8188E+00
5,2,2.8717E-06,1.4675E-01,4.7031E+01,1.8188E+00
5,3,2.1460E-06,5.0842E-01,4.9219E+01,1.8188E+00
5,4,6.4276E-07,1.4989E-01,5.0259E+01,1.8188E+00
5,5,1.3305E-07,2.7816E-02,5.0344E+01,1.8188E+00
5,6,1.5981E-07,9.0153E-02,5.0085E+01,1.8188E+00
5,7,3.8227E-08,2.3693E-02,4.9962E+01,1.8188E+00
5,8,9.6553E-09,1.9378E-03,5.0068E+01,1.8188E+00
5,9,2.8324E-08,1.1455E-02,5.0246E+01,1.8188E+00
5,10,1.0161E-08,3.0275E-03,5.0343E+01,1.8188E+00
5,11,2.0246E-09,5.2582E-04,5.0337E+01,1.8188E+00
5,12,3.2461E-09,1.8155E-03,5.0291E+01,1.8188E+00
5,13,1.1441E-09,4.4860E-04,5.0263E+01,1.8188E+00
5,14,4.6410E-10,8.5426E-05,5.0268E+01,1.8188E+00
5,15,6.8609E-10,2.9051E-04,5.0282E+01,1.8188E+00
5,16,3.4048E-10,8.5548E-05,5.0288E+01,1.8188E+00
5,17,2.3008E-10,2.0892E-05,5.0282E+01,1.8188E+00
5,18,2.4733E-10,4.6761E-05,5.0273E+01,1.8188E+00
5,19,1.8070E-10,1.9551E-05,5.0268E+01,1.8183E+00
5,20,1.5215E-10,1.1864E-05,5.0268E+01,1.8187E+00
5,21,1.4419E-10,1.5068E-05,5.0270E+01,1.8188E+00
5,22,1.2663E-10,1.0154E-05,5.0270E+01,1.8187E+00
5,23,1.1702E-10,8.2608E-06,5.0268E+01,1.7599E+00
6,1,5.6214E-06,2.2266E+00,5.4110E+01,1.8188E+00
6,2,2.2973E-06,1.2092E-01,5.7076E+01,1.8188E+00
6,3,1.7168E-06,4.2225E-01,5.9263E+01,1.8188E+00
6,4,5.1418E-07,1.2493E-01,6.0303E+01,1.8188E+00
6,5,1.0645E-07,2.3187E-02,6.0388E+01,1.8188E+00
6,6,1.2787E-07,7.5089E-02,6.0129E+01,1.8188E+00
6,7,3.0599E-08,1.9726E-02,6.0006E+01,1.8188E+00
6,8,7.7330E-09,1.6154E-03,6.0112E+01,1.8188E+00
6,9,2.2667E-08,9.5486E-03,6.0289E+01,1.8188E+00
6,10,8.1386E-09,2.5255E-03,6.0387E+01,1.8188E+00
6,11,1.6335E-09,4.3905E-04,6.0381E+01,1.8188E+00
6,12,2.6119E-09,1.5137E-03,6.0334E+01,1.8188E+00
6,13,9.2877E-10,3.7455E-04,6.0307E+01,1.8188E+00
6,14,3.8300E-10,7.2173E-05,6.0311E+01,1.8188E+00
6,15,5.5985E-10,2.4320E-04,6.0325E+01,1.8188E+00
6,16,2.8353E-10,7.2244E-05,6.0331E+01,1.8188E+00
6,17,1.9550E-10,1.8210E-05,6.0325E+01,1.8188E+00
6,18,2.0921E-10,3.9714E-05,6.0315E+01,1.8188E+00
6,19,1.5549E-10,1.7052E-05,6.0310E+01,1.8185E+00
6,20,1.3220E-10,1.0672E-05,6.0311E+01,1.8187E+00
6,21,1.2554E-10,1.3340E-05,6.0312E+01,1.8188E+00
6,22,1.1133E-10,9.2141E-06,6.0312E+01,1.8186E+00
7,1,4.6845E-06,1.8763E+00,6.4155E+01,1.8188E+00
7,2,1.9133E-06,1.0272E-01,6.7120E+01,1.8188E+00
7,3,1.4289E-06,3.6029E-01,6.9307E+01,1.8188E+00
7,4,4.2817E-07,1.0695E-01,7.0346E+01,1.8188E+00
7,5,8.8708E-08,1.9845E-02,7.0431E+01,1.8188E+00
7,6,1.0642E-07,6.4214E-02,7.0172E+01,1.8188E+00
7,7,2.5493E-08,1.6874E-02,7.0049E+01,1.8188E+00
7,8,6.4484E-09,1.3811E-03,7.0155E+01,1.8188E+00
7,9,1.8872E-08,8.1704E-03,7.0332E+01,1.8188E+00
7,10,6.7911E-09,2.1643E-03,7.0429E+01,1.8188E+00
7,11,1.3767E-09,3.7655E-04,7.0423E+01,1.8188E+00
7,12,2.1892E-09,1.2958E-03,7.0376E+01,1.8188E+00
7,13,7.8787E-10,3.2146E-04,7.0349E+01,1.8188E+00
7,14,3.3164E-10,6.2805E-05,7.0353E+01,1.8188E+00
7,15,4.7768E-10,2.0922E-04,7.0367E+01,1.8188E+00
7,16,2.4769E-10,6.2850E-05,7.0373E+01,1.8188E+00
7,17,1.7439E-10,1.6425E-05,7.0366E+01,1.8188E+00
7,18,1.8548E-10,3.4759E-05,7.0357E+01,1.8188E+00
7,19,1.4025E-10,1.5377E-05,7.0352E+01,1.8185E+00
7,20,1.2032E-10,9.9263E-06,7.0352E+01,1.8184E+00
8,1,4.0157E-06,1.6222E+00,7.4195E+01,1.8188E+00
8,2,1.6439E-06,8.9753E-02,7.7163E+01,1.8188E+00
8,3,1.2279E-06,3.1621E-01,7.9352E+01,1.8188E+00
8,4,3.6689E-07,9.3564E-02,8.0391E+01,1.8188E+00
8,5,7.6266E-08,1.7535E-02,8.0475E+01,1.8188E+00
8,6,9.1651E-08,5.6422E-02,8.0215E+01,1.8188E+00
8,7,2.1885E-08,1.4750E-02,8.0092E+01,1.8188E+00
8,8,5.5849E-09,1.2300E-03,8.0197E+01,1.8188E+00
8,9,1.6249E-08,7.1863E-03,8.0375E+01,1.8188E+00
8,10,5.8406E-09,1.8956E-03,8.0472E+01,1.8188E+00
8,11,1.2067E-09,3.3464E-04,8.0466E+01,1.8188E+00
8,12,1.9051E-09,1.1401E-03,8.0418E+01,1.8188E+00
8,13,6.9390E-10,2.8227E-04,8.0391E+01,1.8188E+00
8,14,3.0122E-10,5.6844E-05,8.0395E+01,1.8188E+00
8,15,4.2538E-10,1.8522E-04,8.0409E+01,1.8188E+00
8,16,2.2674E-10,5.6203E-05,8.0414E+01,1.8188E+00
8,17,1.6373E-10,1.5487E-05,8.0408E+01,1.8188E+00
8,18,1.7266E-10,3.1473E-05,8.0398E+01,1.8188E+00
8,19,1.3293E-10,1.4391E-05,8.0393E+01,1.8185E+00
8,20,1.1510E-10,9.6330E-06,8.0393E+01,1.8187E+00
9,1,3.5134E-06,1.4288E+00,8.4236E+01,1.8188E+00
9,2,1.4383E-06,7.9413E-02,8.7204E+01,1.8188E+00
9,3,1.0743E-06,2.8069E-01,8.9393E+01,1.8188E+00
9,4,3.2098E-07,8.3176E-02,9.0432E+01,1.8188E+00
9,5,6.6731E-08,1.5589E-02,9.0515E+01,1.8188E+00
9,6,8.0205E-08,5.0142E-02,9.0256E+01,1.8188E+00
9,7,1.9162E-08,1.3106E-02,9.0132E+01,1.8188E+00
9,8,4.8950E-09,1.0943E-03,9.0238E+01,1.8188E+00
9,9,1.4224E-08,6.3899E-03,9.0415E+01,1.8188E+00
9,10,5.1191E-09,1.6866E-03,9.0512E+01,1.8188E+00
9,11,1.0668E-09,2.9818E-04,9.0506E+01,1.8188E+00
9,12,1.6783E-09,1.0140E-03,9.0458E+01,1.8188E+00
9,13,6.1755E-10,2.5154E-04,9.0431E+01,1.8188E+00
9,14,2.7276E-10,5.1328E-05,9.0434E+01,1.8188E+00
9,15,3.8081E-10,1.6550E-04,9.0449E+01,1.8188E+00
9,16,2.0698E-10,5.0714E-05,9.0454E+01,1.8188E+00
9,17,1.5191E-10,1.4420E-05,9.0447E+01,1.8188E+00
9,18,1.5957E-10,2.8588E-05,9.0438E+01,1.8188E+00
9,19,1.2446E-10,1.3406E-05,9.0432E+01,1.8188E+00
9,20,1.0852E-10,9.1859E-06,9.0432E+01,1.8187E+00
10,1,3.1229E-06,1.2766E+00,9.4275E+01,1.8188E+00
10,2,1.2784E-06,7.1212E-02,9.7243E+01,1.8188E+00
10,3,9.5483E-07,2.5235E-01,9.9432E+01,1.8188E+00
10,4,2.8528E-07,7.4866E-02,1.0047E+02,1.8188E+00
10,5,5.9314E-08,1.4032E-02,1.0055E+02,1.8188E+00
10,6,7.1300E-08,4.5122E-02,1.0029E+02,1.8188E+00
10,7,1.7041E-08,1.1792E-02,1.0017E+02,1.8188E+00
10,8,4.3561E-09,9.8545E-04,1.0028E+02,1.8188E+00
10,9,1.2648E-08,5.7524E-03,1.0045E+02,1.8188E+00
10,10,4.5558E-09,1.5190E-03,1.0055E+02,1.8188E+00
10,11,9.5564E-10,2.6885E-04,1.0054E+02,1.8188E+00
10,12,1.4997E-09,9.1303E-04,1.0050E+02,1.8188E+00
10,13,5.5618E-10,2.2684E-04,1.0047E+02,1.8188E+00
10,14,2.4892E-10,4.6769E-05,1.0047E+02,1.8188E+00
10,15,3.4462E-10,1.4957E-04,1.0049E+02,1.8188E+00
10,16,1.9017E-10,4.6198E-05,1.0049E+02,1.8188E+00
10,17,1.4134E-10,1.3461E-05,1.0048E+02,1.8188E+00
10,18,1.4809E-10,2.6185E-05,1.0048E+02,1.8188E+00
10,19,1.1669E-10,1.2527E-05,1.0047E+02,1.8188E+00
10,20,1.0231E-10,8.7408E-06,1.0047E+02,1.8187E+00
