E11,E22,E33,E23,E13,E12,S11,S22,S33,S23,S13,S12,EP11,EP22,EP33,EP23,EP13,EP12,E_dot11,E_dot22,E_dot33,E_dot23,E_dot13,E_dot12,E_dotP11,E_dotP22,E_dotP33,E_dotP23,E_dotP13,E_dotP12,EVM,EPVM,DVM,DPVM,SVM
01.0000e-04,-3.3070e-05,-3.3070e-05,00.0000e+00,00.0000e+00,00.0000e+00,01.0067e+01,03.6487e-03,03.6487e-03,04.5721e-18,-3.9984e-19,01.0030e-18,00.0000e+00,00.0000e+00,00.0000e+00,00.0000e+00,00.0000e+00,00.0000e+00,01.0000e+00,-3.3070e-01,-3.3070e-01,00.0000e+00,00.0000e+00,00.0000e+00,00.0000e+00,00.0000e+00,00.0000e+00,00.0000e+00,00.0000e+00,00.0000e+00,08.8713e-05,00.0000e+00,08.8713e-01,00.0000e+00,01.0063e+01
02.0000e-04,-6.6134e-05,-6.6134e-05,00.0000e+00,00.0000e+00,00.0000e+00,02.0123e+01,01.7395e-03,01.7395e-03,04.0144e-17,01.2757e-18,-6.7734e-19,00.0000e+00,00.0000e+00,00.0000e+00,00.0000e+00,00.0000e+00,00.0000e+00,01.0000e+00,-3.3064e-01,-3.3064e-01,00.0000e+00,00.0000e+00,00.0000e+00,00.0000e+00,00.0000e+00,00.0000e+00,00.0000e+00,00.0000e+00,00.0000e+00,01.7742e-04,00.0000e+00,08.8709e-01,00.0000e+00,02.0121e+01
03.0000e-04,-9.9179e-05,-9.9179e-05,00.0000e+00,00.0000e+00,00.0000e+00,03.0172e+01,-3.7232e-03,-3.7232e-03,01.9482e-17,03.6052e-19,09.1850e-19,00.0000e+00,00.0000e+00,00.0000e+00,00.0000e+00,00.0000e+00,00.0000e+00,01.0000e+00,-3.3044e-01,-3.3044e-01,00.0000e+00,00.0000e+00,00.0000e+00,00.0000e+00,00.0000e+00,00.0000e+00,00.0000e+00,00.0000e+00,00.0000e+00,02.6612e-04,00.0000e+00,08.8696e-01,00.0000e+00,03.0175e+01
04.0000e-04,-1.3220e-04,-1.3220e-04,00.0000e+00,00.0000e+00,00.0000e+00,04.0220e+01,-3.7638e-03,-3.7638e-03,06.6272e-18,01.0141e-18,03.0325e-18,00.0000e+00,00.0000e+00,00.0000e+00,00.0000e+00,00.0000e+00,00.0000e+00,01.0000e+00,-3.3018e-01,-3.3018e-01,00.0000e+00,00.0000e+00,00.0000e+00,00.0000e+00,00.0000e+00,00.0000e+00,00.0000e+00,00.0000e+00,00.0000e+00,03.5480e-04,00.0000e+00,08.8679e-01,00.0000e+00,04.0223e+01
05.0000e-04,-1.6521e-04,-1.6521e-04,00.0000e+00,00.0000e+00,00.0000e+00,05.0264e+01,-3.7946e-03,-3.7946e-03,08.7499e-18,03.5803e-18,05.8721e-19,00.0000e+00,00.0000e+00,00.0000e+00,00.0000e+00,00.0000e+00,00.0000e+00,01.0000e+00,-3.3013e-01,-3.3013e-01,00.0000e+00,00.0000e+00,00.0000e+00,00.0000e+00,00.0000e+00,00.0000e+00,00.0000e+00,00.0000e+00,00.0000e+00,04.4347e-04,00.0000e+00,08.8675e-01,00.0000e+00,05.0268e+01
06.0000e-04,-1.9824e-04,-1.9824e-04,00.0000e+00,00.0000e+00,00.0000e+00,06.0307e+01,-5.6015e-03,-5.6015e-03,06.9770e-18,-3.0906e-19,-4.5094e-19,00.0000e+00,00.0000e+00,00.0000e+00,00.0000e+00,00.0000e+00,00.0000e+00,01.0000e+00,-3.3032e-01,-3.3032e-01,00.0000e+00,00.0000e+00,00.0000e+00,00.0000e+00,00.0000e+00,00.0000e+00,00.0000e+00,00.0000e+00,00.0000e+00,05.3216e-04,00.0000e+00,08.8688e-01,00.0000e+00,06.0312e+01
07.0000e-04,-2.3128e-04,-2.3128e-04,00.0000e+00,00.0000e+00,00.0000e+00,07.0360e+01,08.5077e-03,08.5077e-03,09.6175e-17,04.1407e-18,-4.6676e-18,00.0000e+00,00.0000e+00,00.0000e+00,00.0000e+00,00.0000e+00,00.0000e+00,01.0000e+00,-3.3036e-01,-3.3036e-01,00.0000e+00,00.0000e+00,00.0000e+00,00.0000e+00,00.0000e+00,00.0000e+00,00.0000e+00,00.0000e+00,00.0000e+00,06.2085e-04,00.0000e+00,08.8691e-01,00.0000e+00,07.0352e+01
08.0000e-04,-2.6436e-04,-2.6436e-04,00.0000e+00,00.0000e+00,00.0000e+00,08.0402e+01,08.4812e-03,08.4812e-03,-6.8120e-17,-6.3527e-19,05.0814e-18,00.0000e+00,00.0000e+00,00.0000e+00,00.0000e+00,00.0000e+00,00.0000e+00,01.0000e+00,-3.3081e-01,-3.3081e-01,00.0000e+00,00.0000e+00,00.0000e+00,00.0000e+00,00.0000e+00,00.0000e+00,00.0000e+00,00.0000e+00,00.0000e+00,07.0957e-04,00.0000e+00,08.8721e-01,00.0000e+00,08.0393e+01
09.0000e-04,-2.9744e-04,-2.9744e-04,00.0000e+00,00.0000e+00,00.0000e+00,09.0441e+01,08.4578e-03,08.4578e-03,01.8611e-17,-1.0489e-18,-1.4683e-18,00.0000e+00,00.0000e+00,00.0000e+00,00.0000e+00,00.0000e+00,00.0000e+00,01.0000e+00,-3.3078e-01,-3.3078e-01,00.0000e+00,00.0000e+00,00.0000e+00,00.0000e+00,00.0000e+00,00.0000e+00,00.0000e+00,00.0000e+00,00.0000e+00,07.9829e-04,00.0000e+00,08.8718e-01,00.0000e+00,09.0432e+01
01.0000e-03,-3.3051e-04,-3.3051e-04,00.0000e+00,00.0000e+00,00.0000e+00,01.0048e+02,08.4379e-03,08.4379e-03,07.9477e-17,-1.8859e-18,-2.9053e-19,00.0000e+00,00.0000e+00,00.0000e+00,00.0000e+00,00.0000e+00,00.0000e+00,01.0000e+00,-3.3075e-01,-3.3075e-01,00.0000e+00,00.0000e+00,00.0000e+00,00.0000e+00,00.0000e+00,00.0000e+00,00.0000e+00,00.0000e+00,00.0000e+00,08.8701e-04,00.0000e+00,08.8717e-01,00.0000e+00,01.0047e+02
