N, Prob, K, t1, t2, t3, total_time, distance
500, 0.00000, 6, 0.00,0.17,0.00, 0.17, 21.252000
500, 0.00000, 6, 0.00,0.17,0.00, 0.17, 21.252000
500, 0.00000, 6, 0.00,0.17,0.00, 0.17, 21.252000
1000, 0.00000, 6, 0.00,1.33,0.00, 1.34, 42.084000
1000, 0.00000, 6, 0.00,1.33,0.00, 1.34, 42.084000
1000, 0.00000, 6, 0.00,1.34,0.00, 1.34, 42.084000
2000, 0.00000, 6, 0.01,10.79,0.01, 10.81, 83.750500
2000, 0.00000, 6, 0.02,10.84,0.01, 10.86, 83.750500
2000, 0.00000, 6, 0.02,10.78,0.01, 10.80, 83.750500
2500, 0.00000, 6, 0.02,23.12,0.01, 23.15, 104.583600
2500, 0.00000, 6, 0.02,23.13,0.01, 23.16, 104.583600
2500, 0.00000, 6, 0.02,23.13,0.01, 23.16, 104.583600
3000, 0.00000, 6, 0.03,39.42,0.01, 39.46, 125.416667
3000, 0.00000, 6, 0.03,39.47,0.01, 39.52, 125.416667
3000, 0.00000, 6, 0.03,39.47,0.01, 39.51, 125.416667
3500, 0.00000, 6, 0.04,61.85,0.02, 61.91, 146.250286
3500, 0.00000, 6, 0.04,61.92,0.02, 61.98, 146.250286
3500, 0.00000, 6, 0.04,61.96,0.02, 62.03, 146.250286
4000, 0.00000, 6, 0.05,91.96,0.02, 92.03, 167.083500
4000, 0.00000, 6, 0.05,92.08,0.02, 92.15, 167.083500
4000, 0.00000, 6, 0.05,92.15,0.02, 92.23, 167.083500
