N, Prob, K, t1, t2, t3, total_time, distance
500, 0.00000, 6, 0.00,0.02,0.00, 0.02, 21.252000
500, 0.00000, 6, 0.00,0.02,0.00, 0.02, 21.252000
500, 0.00000, 6, 0.00,0.02,0.00, 0.02, 21.252000
1000, 0.00000, 6, 0.00,0.11,0.00, 0.12, 42.084000
1000, 0.00000, 6, 0.00,0.11,0.00, 0.12, 42.084000
1000, 0.00000, 6, 0.00,0.12,0.00, 0.12, 42.084000
2000, 0.00000, 6, 0.01,0.76,0.00, 0.77, 83.750500
2000, 0.00000, 6, 0.02,0.76,0.00, 0.77, 83.750500
2000, 0.00000, 6, 0.01,0.76,0.00, 0.77, 83.750500
2500, 0.00000, 6, 0.02,1.44,0.00, 1.46, 104.583600
2500, 0.00000, 6, 0.02,1.44,0.00, 1.46, 104.583600
2500, 0.00000, 6, 0.02,1.45,0.00, 1.47, 104.583600
3000, 0.00000, 6, 0.03,2.41,0.00, 2.44, 125.416667
3000, 0.00000, 6, 0.03,2.43,0.00, 2.46, 125.416667
3000, 0.00000, 6, 0.03,2.43,0.00, 2.46, 125.416667
3500, 0.00000, 6, 0.04,3.82,0.00, 3.86, 146.250286
3500, 0.00000, 6, 0.04,3.82,0.00, 3.86, 146.250286
3500, 0.00000, 6, 0.04,3.81,0.00, 3.85, 146.250286
4000, 0.00000, 6, 0.05,5.63,0.00, 5.68, 167.083500
4000, 0.00000, 6, 0.05,5.63,0.00, 5.68, 167.083500
4000, 0.00000, 6, 0.05,5.61,0.00, 5.66, 167.083500
5000, 0.00000, 6, 0.07,10.83,0.00, 10.90, 208.750200
5000, 0.00000, 6, 0.07,10.82,0.00, 10.90, 208.750200
5000, 0.00000, 6, 0.08,10.83,0.00, 10.91, 208.750200
6000, 0.00000, 6, 0.08,18.60,0.00, 18.69, 250.416667
6000, 0.00000, 6, 0.09,18.56,0.00, 18.65, 250.416667
6000, 0.00000, 6, 0.09,18.60,0.00, 18.69, 250.416667
