N, Prob, K, t1, t2, t3, total_time, distance
500, 0.00000, 6, 0.00,0.00,0.01, 0.01, 21.252000
500, 0.00000, 6, 0.00,0.00,0.01, 0.01, 21.252000
500, 0.00000, 6, 0.00,0.00,0.01, 0.01, 21.252000
1000, 0.00000, 6, 0.00,0.00,0.05, 0.06, 42.084000
1000, 0.00000, 6, 0.00,0.00,0.05, 0.06, 42.084000
1000, 0.00000, 6, 0.00,0.00,0.05, 0.06, 42.084000
2000, 0.00000, 6, 0.00,0.21,0.20, 0.41, 83.750500
2000, 0.00000, 6, 0.00,0.18,0.18, 0.36, 83.750500
2000, 0.00000, 6, 0.00,0.17,0.18, 0.35, 83.750500
4000, 0.00000, 6, 0.00,2.01,0.69, 2.71, 167.083500
4000, 0.00000, 6, 0.00,2.01,0.69, 2.71, 167.083500
4000, 0.00000, 6, 0.00,2.01,0.69, 2.71, 167.083500
6000, 0.00000, 6, 0.01,7.55,1.56, 9.11, 250.416667
6000, 0.00000, 6, 0.01,7.53,1.55, 9.09, 250.416667
6000, 0.00000, 6, 0.01,7.52,1.55, 9.08, 250.416667
8000, 0.00000, 6, 0.01,18.74,2.76, 21.51, 333.750125
8000, 0.00000, 6, 0.01,18.79,2.76, 21.55, 333.750125
8000, 0.00000, 6, 0.01,18.79,2.76, 21.56, 333.750125
10000, 0.00000, 6, 0.01,37.75,4.31, 42.07, 417.083400
10000, 0.00000, 6, 0.01,37.74,4.31, 42.07, 417.083400
10000, 0.00000, 6, 0.01,37.75,4.31, 42.07, 417.083400
