N, Prob, K, t1, t2, t3, total_time, distance
500, 0.000, 6,0.00,0.16,0.00, 0.16, 21.252000
500, 0.000, 6,0.00,0.16,0.00, 0.16, 21.252000
500, 0.000, 6,0.00,0.16,0.00, 0.16, 21.252000
1000, 0.000, 6,0.00,1.28,0.00, 1.28, 42.084000
1000, 0.000, 6,0.00,1.28,0.00, 1.28, 42.084000
1000, 0.000, 6,0.00,1.29,0.00, 1.29, 42.084000
2000, 0.000, 6,0.00,10.19,0.01, 10.19, 83.750500
2000, 0.000, 6,0.00,10.18,0.01, 10.19, 83.750500
2000, 0.000, 6,0.00,10.18,0.01, 10.19, 83.750500
2500, 0.000, 6,0.00,20.39,0.01, 20.41, 104.583600
2500, 0.000, 6,0.00,20.38,0.01, 20.39, 104.583600
2500, 0.000, 6,0.00,20.37,0.01, 20.38, 104.583600
3000, 0.000, 6,0.00,35.14,0.01, 35.16, 125.416667
3000, 0.000, 6,0.00,35.12,0.01, 35.13, 125.416667
3000, 0.000, 6,0.00,35.15,0.01, 35.17, 125.416667
3500, 0.000, 6,0.01,55.49,0.02, 55.51, 146.250286
3500, 0.000, 6,0.00,55.48,0.02, 55.51, 146.250286
3500, 0.000, 6,0.00,55.54,0.02, 55.57, 146.250286
4000, 0.000, 6,0.01,82.61,0.02, 82.64, 167.083500
4000, 0.000, 6,0.01,82.76,0.02, 82.79, 167.083500
4000, 0.000, 6,0.01,82.69,0.02, 82.72, 167.083500
