N, Prob, K, t1, t2, t3, total_time, distance
500, 0.00000, 6, 0.00,0.04,0.00, 0.04, 21.252000
500, 0.00000, 6, 0.00,0.04,0.00, 0.04, 21.252000
500, 0.00000, 6, 0.00,0.04,0.00, 0.04, 21.252000
1000, 0.00000, 6, 0.00,0.26,0.00, 0.27, 42.084000
1000, 0.00000, 6, 0.00,0.26,0.00, 0.27, 42.084000
1000, 0.00000, 6, 0.00,0.26,0.00, 0.27, 42.084000
2000, 0.00000, 6, 0.01,1.97,0.00, 1.99, 83.750500
2000, 0.00000, 6, 0.01,1.97,0.00, 1.98, 83.750500
2000, 0.00000, 6, 0.01,1.97,0.00, 1.98, 83.750500
3000, 0.00000, 6, 0.02,6.55,0.01, 6.58, 125.416667
3000, 0.00000, 6, 0.02,6.57,0.01, 6.59, 125.416667
3000, 0.00000, 6, 0.02,6.55,0.01, 6.57, 125.416667
3500, 0.00000, 6, 0.03,10.46,0.01, 10.50, 146.250286
3500, 0.00000, 6, 0.03,10.52,0.01, 10.55, 146.250286
3500, 0.00000, 6, 0.03,10.38,0.01, 10.42, 146.250286
4000, 0.00000, 6, 0.04,15.91,0.01, 15.96, 167.083500
4000, 0.00000, 6, 0.04,15.92,0.01, 15.96, 167.083500
4000, 0.00000, 6, 0.04,15.88,0.01, 15.93, 167.083500
5000, 0.00000, 6, 0.06,31.06,0.02, 31.13, 208.750200
5000, 0.00000, 6, 0.06,31.10,0.02, 31.17, 208.750200
5000, 0.00000, 6, 0.06,31.24,0.02, 31.31, 208.750200
6000, 0.00000, 6, 0.08,53.16,0.02, 53.26, 250.416667
6000, 0.00000, 6, 0.08,53.30,0.02, 53.41, 250.416667
6000, 0.00000, 6, 0.08,53.08,0.02, 53.19, 250.416667
