N, Prob, K, t1, t2, t3, total_time, distance
500, 0.00000, 6, 0.00,0.00,0.00, 0.01, 21.252000
500, 0.00000, 6, 0.00,0.00,0.00, 0.01, 21.252000
500, 0.00000, 6, 0.00,0.00,0.00, 0.01, 21.252000
1000, 0.00000, 6, 0.00,0.00,0.02, 0.03, 42.084000
1000, 0.00000, 6, 0.00,0.00,0.02, 0.03, 42.084000
1000, 0.00000, 6, 0.00,0.00,0.02, 0.03, 42.084000
2000, 0.00000, 6, 0.00,0.17,0.17, 0.34, 83.750500
2000, 0.00000, 6, 0.00,0.16,0.17, 0.34, 83.750500
2000, 0.00000, 6, 0.00,0.16,0.17, 0.34, 83.750500
4000, 0.00000, 6, 0.00,1.38,0.48, 1.86, 167.083500
4000, 0.00000, 6, 0.00,1.38,0.48, 1.86, 167.083500
4000, 0.00000, 6, 0.00,1.38,0.48, 1.86, 167.083500
