N, Prob, K, t1, t2, t3, total_time, distance
500, 0.00000, 6, 0.01,0.01,0.00, 0.02, 21.252000
500, 0.00000, 6, 0.01,0.01,0.00, 0.02, 21.252000
500, 0.00000, 6, 0.01,0.01,0.00, 0.02, 21.252000
1000, 0.00000, 6, 0.01,0.05,0.00, 0.06, 42.084000
1000, 0.00000, 6, 0.01,0.05,0.00, 0.06, 42.084000
1000, 0.00000, 6, 0.01,0.05,0.00, 0.06, 42.084000
2000, 0.00000, 6, 0.01,0.31,0.00, 0.32, 83.750500
2000, 0.00000, 6, 0.01,0.31,0.00, 0.32, 83.750500
2000, 0.00000, 6, 0.01,0.31,0.00, 0.32, 83.750500
4000, 0.00000, 6, 0.01,2.37,0.00, 2.38, 167.083500
4000, 0.00000, 6, 0.01,2.37,0.00, 2.38, 167.083500
4000, 0.00000, 6, 0.01,2.37,0.00, 2.38, 167.083500
6000, 0.00000, 6, 0.01,7.94,0.01, 7.96, 250.416667
6000, 0.00000, 6, 0.01,7.94,0.01, 7.96, 250.416667
6000, 0.00000, 6, 0.01,7.94,0.01, 7.96, 250.416667
8000, 0.00000, 6, 0.01,18.74,0.02, 18.77, 333.750125
8000, 0.00000, 6, 0.01,18.74,0.02, 18.77, 333.750125
8000, 0.00000, 6, 0.01,18.74,0.02, 18.77, 333.750125
