N, Time(Dense), Time(Sparse), Speedup, check dense, check sparse
500, 3.29e-05, 1.51e-05, 2.175607, 75.000000, 75.000000 
500, 3.33e-05, 1.55e-05, 2.151969, 75.000000, 75.000000 
500, 3.20e-05, 1.48e-05, 2.164728, 75.000000, 75.000000 
1000, 7.85e-05, 1.49e-05, 5.254532, 75.000000, 75.000000 
1000, 7.77e-05, 1.37e-05, 5.680915, 75.000000, 75.000000 
1000, 7.69e-05, 1.39e-05, 5.532311, 75.000000, 75.000000 
2000, 4.36e-04, 1.70e-05, 25.696319, 75.000000, 75.000000 
2000, 4.40e-04, 1.80e-05, 24.491655, 75.000000, 75.000000 
2000, 4.37e-04, 1.83e-05, 23.938550, 75.000000, 75.000000 
4000, 2.23e-03, 1.80e-05, 124.194996, 75.000000, 75.000000 
4000, 2.16e-03, 1.87e-05, 115.633237, 75.000000, 75.000000 
4000, 2.19e-03, 1.95e-05, 112.203366, 75.000000, 75.000000 
6000, 6.26e-03, 4.07e-05, 154.085444, 75.000000, 75.000000 
6000, 5.44e-03, 4.07e-05, 133.473956, 75.000000, 75.000000 
6000, 5.12e-03, 4.21e-05, 121.505151, 75.000000, 75.000000 
8000, 2.59e-02, 4.08e-05, 633.942567, 75.000000, 75.000000 
8000, 2.48e-02, 3.95e-05, 626.904617, 75.000000, 75.000000 
8000, 2.49e-02, 3.88e-05, 640.304165, 75.000000, 75.000000 
10000, 3.68e-02, 4.31e-05, 852.685759, 75.000000, 75.000000 
10000, 3.67e-02, 4.45e-05, 824.330704, 75.000000, 75.000000 
10000, 3.69e-02, 4.85e-05, 761.083366, 75.000000, 75.000000 
20000, 1.17e-01, 6.61e-05, 1764.264160, 75.000000, 75.000000 
20000, 1.17e-01, 6.57e-05, 1777.728459, 75.000000, 75.000000 
20000, 1.17e-01, 6.36e-05, 1838.774107, 75.000000, 75.000000 
30000, 2.46e-01, 1.01e-04, 2426.989077, 75.000000, 75.000000 
30000, 2.46e-01, 9.92e-05, 2475.689131, 75.000000, 75.000000 
30000, 2.46e-01, 9.86e-05, 2497.504163, 75.000000, 75.000000 
40000, 4.09e-01, 1.25e-04, 3270.657559, 75.000000, 75.000000 
40000, 4.08e-01, 1.23e-04, 3314.129980, 75.000000, 75.000000 
40000, 4.12e-01, 1.26e-04, 3267.088790, 75.000000, 75.000000 
50000, 5.96e-01, 1.44e-04, 4143.118419, 75.000000, 75.000000 
50000, 6.02e-01, 1.49e-04, 4031.575126, 75.000000, 75.000000 
50000, 5.95e-01, 1.42e-04, 4185.510064, 75.000000, 75.000000 
60000, 1.31e+00, 2.35e-04, 5583.542321, 75.000000, 75.000000 
60000, 1.32e+00, 2.37e-04, 5564.578319, 75.000000, 75.000000 
60000, 1.24e+00, 1.93e-04, 6406.203473, 75.000000, 75.000000 
