N, Time(Dense), Time(Sparse), Speedup, check dense, check sparse
500, 1.23e-04, 9.40e-06, 13.063950, 75.000000, 75.000000 
500, 1.21e-04, 9.07e-06, 13.329767, 75.000000, 75.000000 
500, 1.20e-04, 8.48e-06, 14.122803, 75.000000, 75.000000 
1000, 4.77e-04, 9.18e-06, 51.946497, 75.000000, 75.000000 
1000, 4.77e-04, 9.53e-06, 50.028652, 75.000000, 75.000000 
1000, 4.75e-04, 1.05e-05, 45.397326, 75.000000, 75.000000 
2000, 2.39e-03, 1.32e-05, 180.732728, 75.000000, 75.000000 
2000, 2.17e-03, 1.30e-05, 167.601850, 75.000000, 75.000000 
2000, 2.13e-03, 1.62e-05, 131.380371, 75.000000, 75.000000 
4000, 9.47e-03, 1.98e-05, 477.421918, 75.000000, 75.000000 
4000, 9.32e-03, 1.96e-05, 475.986770, 75.000000, 75.000000 
4000, 9.55e-03, 1.97e-05, 485.493648, 75.000000, 75.000000 
6000, 2.06e-02, 2.87e-05, 718.787995, 75.000000, 75.000000 
6000, 2.02e-02, 3.08e-05, 654.982690, 75.000000, 75.000000 
6000, 2.02e-02, 3.11e-05, 651.061560, 75.000000, 75.000000 
8000, 3.53e-02, 3.35e-05, 1055.827986, 75.000000, 75.000000 
8000, 3.54e-02, 3.37e-05, 1050.056988, 75.000000, 75.000000 
8000, 3.54e-02, 3.32e-05, 1066.304577, 75.000000, 75.000000 
10000, 5.48e-02, 3.94e-05, 1390.364022, 75.000000, 75.000000 
10000, 5.49e-02, 4.21e-05, 1302.591389, 75.000000, 75.000000 
10000, 5.48e-02, 4.31e-05, 1272.968317, 75.000000, 75.000000 
20000, 2.20e-01, 7.13e-05, 3089.522776, 75.000000, 75.000000 
20000, 2.20e-01, 1.10e-04, 1994.750586, 75.000000, 75.000000 
20000, 2.21e-01, 1.17e-04, 1882.255772, 75.000000, 75.000000 
30000, 4.97e-01, 1.18e-04, 4205.039702, 75.000000, 75.000000 
30000, 4.97e-01, 1.82e-04, 2726.024379, 75.000000, 75.000000 
30000, 4.97e-01, 2.37e-04, 2098.725158, 75.000000, 75.000000 
40000, 8.79e-01, 1.33e-04, 6616.125563, 75.000000, 75.000000 
40000, 8.79e-01, 2.55e-04, 3450.218938, 75.000000, 75.000000 
40000, 8.80e-01, 1.42e-04, 6173.748798, 75.000000, 75.000000 
50000, 1.39e+00, 1.80e-04, 7721.633390, 75.000000, 75.000000 
50000, 1.39e+00, 2.06e-04, 6727.660877, 75.000000, 75.000000 
50000, 1.39e+00, 3.06e-04, 4525.882611, 75.000000, 75.000000 
60000, 2.01e+00, 3.16e-04, 6376.863536, 75.000000, 75.000000 
60000, 2.04e+00, 3.35e-04, 6088.995321, 75.000000, 75.000000 
60000, 2.04e+00, 2.03e-04, 10037.847748, 75.000000, 75.000000 
