N, Time(Dense), Time(Sparse), Converged Dense?, Converged Sparse?, Eigenvalue Dense, EigenValue Sparse
100, 1.20e-02, 1.16e-02, 1, 1, 833.219765, 833.219765
100, 1.18e-02, 1.15e-02, 1, 1, 833.219765, 833.219765
100, 1.19e-02, 1.16e-02, 1, 1, 833.219765, 833.219765
500, 2.80e-02, 2.31e-02, 1, 1, 4384.743993, 4384.743993
500, 2.74e-02, 2.26e-02, 1, 1, 4384.743993, 4384.743993
500, 2.76e-02, 2.29e-02, 1, 1, 4384.743993, 4384.743993
1000, 4.87e-02, 2.90e-02, 1, 1, 8854.530320, 8854.530320
1000, 4.83e-02, 2.92e-02, 1, 1, 8854.530320, 8854.530320
1000, 4.87e-02, 2.93e-02, 1, 1, 8854.530320, 8854.530320
2000, 1.49e-01, 4.19e-02, 1, 1, 17816.516169, 17816.516169
2000, 1.47e-01, 4.25e-02, 1, 1, 17816.516169, 17816.516169
2000, 1.54e-01, 4.17e-02, 1, 1, 17816.516169, 17816.516169
3000, 3.02e-01, 4.83e-02, 1, 1, 26789.866767, 26789.866767
3000, 3.03e-01, 4.93e-02, 1, 1, 26789.866767, 26789.866767
3000, 2.99e-01, 4.89e-02, 1, 1, 26789.866767, 26789.866767
4000, 7.05e-01, 5.63e-02, 1, 1, 35768.656243, 35768.656243
4000, 7.26e-01, 5.64e-02, 1, 1, 35768.656243, 35768.656243
4000, 7.15e-01, 5.52e-02, 1, 1, 35768.656243, 35768.656243
5000, 7.87e-01, 5.60e-02, 1, 1, 44750.729311, 44750.729311
5000, 7.90e-01, 5.56e-02, 1, 1, 44750.729311, 44750.729311
5000, 7.97e-01, 5.42e-02, 1, 1, 44750.729311, 44750.729311
6000, 1.77e+00, 5.88e-02, 1, 1, 53735.032867, 53735.032867
6000, 1.79e+00, 5.80e-02, 1, 1, 53735.032867, 53735.032867
6000, 1.79e+00, 5.49e-02, 1, 1, 53735.032867, 53735.032867
7000, 3.29e+00, 5.86e-02, 1, 1, 62721.038789, 62721.038789
7000, 3.29e+00, 5.54e-02, 1, 1, 62721.038789, 62721.038789
7000, 3.29e+00, 5.74e-02, 1, 1, 62721.038789, 62721.038789
8000, 4.01e+00, 5.99e-02, 1, 1, 71708.253624, 71708.253624
8000, 3.99e+00, 5.49e-02, 1, 1, 71708.253624, 71708.253624
8000, 4.00e+00, 6.15e-02, 1, 1, 71708.253624, 71708.253624
9000, 5.05e+00, 5.97e-02, 1, 1, 80696.457883, 80696.457883
9000, 5.09e+00, 6.21e-02, 1, 1, 80696.457883, 80696.457883
9000, 5.09e+00, 6.20e-02, 1, 1, 80696.457883, 80696.457883
10000, 6.01e+00, 6.12e-02, 1, 1, 89685.464765, 89685.464765
10000, 5.98e+00, 6.20e-02, 1, 1, 89685.464765, 89685.464765
10000, 5.99e+00, 6.20e-02, 1, 1, 89685.464765, 89685.464765
11000, 7.84e+00, 7.28e-02, 1, 1, 98675.363648, 98675.363648
11000, 7.80e+00, 7.37e-02, 1, 1, 98675.363648, 98675.363648
11000, 8.04e+00, 7.52e-02, 1, 1, 98675.363648, 98675.363648
12000, 9.02e+00, 7.29e-02, 1, 1, 107665.667571, 107665.667571
12000, 9.14e+00, 7.35e-02, 1, 1, 107665.667571, 107665.667571
12000, 8.99e+00, 7.24e-02, 1, 1, 107665.667571, 107665.667571
1300, 7.10e-02, 3.39e-02, 1, 1, 11541.159272, 11541.159272
1300, 7.14e-02, 3.46e-02, 1, 1, 11541.159272, 11541.159272
1300, 7.06e-02, 3.38e-02, 1, 1, 11541.159272, 11541.159272
14000, 1.21e+01, 7.40e-02, 1, 1, 125647.669731, 125647.669731
14000, 1.24e+01, 7.49e-02, 1, 1, 125647.669731, 125647.669731
14000, 1.20e+01, 7.72e-02, 1, 1, 125647.669731, 125647.669731
15000, 1.36e+01, 7.59e-02, 1, 1, 134639.248150, 134639.248150
15000, 1.44e+01, 7.17e-02, 1, 1, 134639.248150, 134639.248150
15000, 1.52e+01, 7.48e-02, 1, 1, 134639.248150, 134639.248150
16000, 1.60e+01, 7.44e-02, 1, 1, 143631.149314, 143631.149314
16000, 1.60e+01, 7.48e-02, 1, 1, 143631.149314, 143631.149314
16000, 1.48e+01, 7.53e-02, 1, 1, 143631.149314, 143631.149314
17000, 1.73e+01, 7.78e-02, 1, 1, 152623.336313, 152623.336313
17000, 1.71e+01, 7.61e-02, 1, 1, 152623.336313, 152623.336313
17000, 1.75e+01, 7.73e-02, 1, 1, 152623.336313, 152623.336313
18000, 1.87e+01, 7.80e-02, 1, 1, 161615.778027, 161615.778027
18000, 1.83e+01, 7.70e-02, 1, 1, 161615.778027, 161615.778027
18000, 1.86e+01, 7.68e-02, 1, 1, 161615.778027, 161615.778027
19000, 2.18e+01, 7.45e-02, 1, 1, 170608.447966, 170608.447966
19000, 1.99e+01, 7.73e-02, 1, 1, 170608.447966, 170608.447966
19000, 2.13e+01, 7.40e-02, 1, 1, 170608.447966, 170608.447966
20000, 2.18e+01, 7.86e-02, 1, 1, 179601.323394, 179601.323394
20000, 2.27e+01, 7.82e-02, 1, 1, 179601.323394, 179601.323394
20000, 2.28e+01, 7.40e-02, 1, 1, 179601.323394, 179601.323394
