N, Time Sparse, Converged, Eigenvalue
2500, 1.61e-02, 1, 22302.293199
2500, 1.61e-02, 1, 22302.293199
2500, 1.60e-02, 1, 22302.293199
5000, 2.06e-02, 1, 44750.729311
5000, 2.06e-02, 1, 44750.729311
5000, 2.07e-02, 1, 44750.729311
7500, 2.28e-02, 1, 67214.508348
7500, 2.27e-02, 1, 67214.508348
7500, 2.26e-02, 1, 67214.508348
10000, 2.36e-02, 1, 89685.464765
10000, 2.36e-02, 1, 89685.464765
10000, 2.36e-02, 1, 89685.464765
12500, 2.62e-02, 1, 112161.006552
12500, 2.61e-02, 1, 112161.006552
12500, 2.61e-02, 1, 112161.006552
15000, 2.61e-02, 1, 134639.248150
15000, 2.63e-02, 1, 134639.248150
15000, 2.61e-02, 1, 134639.248150
17500, 2.59e-02, 1, 157119.527084
17500, 2.58e-02, 1, 157119.527084
17500, 2.60e-02, 1, 157119.527084
20000, 2.69e-02, 1, 179601.323394
20000, 2.70e-02, 1, 179601.323394
20000, 2.69e-02, 1, 179601.323394
22500, 2.71e-02, 1, 202084.288137
22500, 2.70e-02, 1, 202084.288137
22500, 2.72e-02, 1, 202084.288137
25000, 2.78e-02, 1, 224568.175751
25000, 2.75e-02, 1, 224568.175751
25000, 2.75e-02, 1, 224568.175751
27500, 2.76e-02, 1, 247052.807092
27500, 2.77e-02, 1, 247052.807092
27500, 2.77e-02, 1, 247052.807092
30000, 2.81e-02, 1, 269538.047717
30000, 2.80e-02, 1, 269538.047717
30000, 2.81e-02, 1, 269538.047717
32500, 2.87e-02, 1, 292023.794399
32500, 2.85e-02, 1, 292023.794399
32500, 2.84e-02, 1, 292023.794399
35000, 2.84e-02, 1, 314509.966360
35000, 2.83e-02, 1, 314509.966360
35000, 2.84e-02, 1, 314509.966360
37500, 2.92e-02, 1, 336996.499373
37500, 2.93e-02, 1, 336996.499373
37500, 2.93e-02, 1, 336996.499373
40000, 2.97e-02, 1, 359483.341661
40000, 2.97e-02, 1, 359483.341661
40000, 2.98e-02, 1, 359483.341661
42500, 3.04e-02, 1, 381970.450981
42500, 3.00e-02, 1, 381970.450981
42500, 3.00e-02, 1, 381970.450981
45000, 3.03e-02, 1, 404457.792503
45000, 3.05e-02, 1, 404457.792503
45000, 3.02e-02, 1, 404457.792503
47500, 3.06e-02, 1, 426945.337237
47500, 2.96e-02, 1, 426945.337237
47500, 2.94e-02, 1, 426945.337237
50000, 2.96e-02, 1, 449433.060849
50000, 2.96e-02, 1, 449433.060849
50000, 2.84e-02, 1, 449433.060849
52500, 2.88e-02, 1, 471920.942755
52500, 2.74e-02, 1, 471920.942755
52500, 2.75e-02, 1, 471920.942755
55000, 2.74e-02, 1, 494408.965425
55000, 3.15e-02, 1, 494408.965425
55000, 2.65e-02, 1, 494408.965425
57500, 2.75e-02, 1, 516897.113829
57500, 2.67e-02, 1, 516897.113829
57500, 2.66e-02, 1, 516897.113829
60000, 2.65e-02, 1, 539385.375011
60000, 2.65e-02, 1, 539385.375011
60000, 2.71e-02, 1, 539385.375011
62500, 2.70e-02, 1, 561873.737737
62500, 2.67e-02, 1, 561873.737737
62500, 2.68e-02, 1, 561873.737737
65000, 2.50e-02, 1, 584348.656358
65000, 2.47e-02, 1, 584348.656358
65000, 2.49e-02, 1, 584348.656358
67500, 2.54e-02, 1, 606836.346227
67500, 2.49e-02, 1, 606836.346227
67500, 2.53e-02, 1, 606836.346227
70000, 2.54e-02, 1, 629324.102814
70000, 2.55e-02, 1, 629324.102814
70000, 2.56e-02, 1, 629324.102814
72500, 2.54e-02, 1, 651811.920138
72500, 2.57e-02, 1, 651811.920138
72500, 2.55e-02, 1, 651811.920138
75000, 2.72e-02, 1, 674299.792911
75000, 2.69e-02, 1, 674299.792911
75000, 2.69e-02, 1, 674299.792911
77500, 2.70e-02, 1, 696787.716443
77500, 2.69e-02, 1, 696787.716443
77500, 2.75e-02, 1, 696787.716443
80000, 2.75e-02, 1, 719275.686558
80000, 2.77e-02, 1, 719275.686558
80000, 2.75e-02, 1, 719275.686558
82500, 2.81e-02, 1, 741763.699525
82500, 2.81e-02, 1, 741763.699525
82500, 2.83e-02, 1, 741763.699525
85000, 2.95e-02, 1, 764251.752001
85000, 2.93e-02, 1, 764251.752001
85000, 2.95e-02, 1, 764251.752001
87500, 3.02e-02, 1, 786739.840983
87500, 3.01e-02, 1, 786739.840983
87500, 3.04e-02, 1, 786739.840983
90000, 3.12e-02, 1, 809227.963765
90000, 3.12e-02, 1, 809227.963765
90000, 3.11e-02, 1, 809227.963765
92500, 3.22e-02, 1, 831716.117900
92500, 3.22e-02, 1, 831716.117900
92500, 3.23e-02, 1, 831716.117900
95000, 3.32e-02, 1, 854204.301173
95000, 3.33e-02, 1, 854204.301173
95000, 3.31e-02, 1, 854204.301173
97500, 3.41e-02, 1, 876692.511573
97500, 3.41e-02, 1, 876692.511573
97500, 3.43e-02, 1, 876692.511573
100000, 3.50e-02, 1, 899180.747269
100000, 3.50e-02, 1, 899180.747269
100000, 3.41e-02, 1, 899180.747269
102500, 3.48e-02, 1, 921669.006592
102500, 3.47e-02, 1, 921669.006592
102500, 3.59e-02, 1, 921669.006592
105000, 3.69e-02, 1, 944157.288016
105000, 3.66e-02, 1, 944157.288016
105000, 3.68e-02, 1, 944157.288016
107500, 3.74e-02, 1, 966645.590143
107500, 3.72e-02, 1, 966645.590143
107500, 3.72e-02, 1, 966645.590143
110000, 3.79e-02, 1, 989133.911693
110000, 3.80e-02, 1, 989133.911693
110000, 3.81e-02, 1, 989133.911693
112500, 3.89e-02, 1, 1011622.251486
112500, 3.86e-02, 1, 1011622.251486
112500, 3.88e-02, 1, 1011622.251486
115000, 3.55e-02, 1, 1034069.844567
115000, 3.54e-02, 1, 1034069.844567
115000, 3.55e-02, 1, 1034069.844567
117500, 3.58e-02, 1, 1056557.040371
117500, 3.60e-02, 1, 1056557.040371
117500, 3.58e-02, 1, 1056557.040371
120000, 3.67e-02, 1, 1079044.248996
120000, 3.64e-02, 1, 1079044.248996
120000, 3.65e-02, 1, 1079044.248996
122500, 3.71e-02, 1, 1101531.469715
122500, 3.73e-02, 1, 1101531.469715
122500, 3.72e-02, 1, 1101531.469715
125000, 3.78e-02, 1, 1124018.701853
125000, 3.79e-02, 1, 1124018.701853
125000, 3.79e-02, 1, 1124018.701853
127500, 3.84e-02, 1, 1146505.944784
127500, 3.85e-02, 1, 1146505.944784
127500, 3.84e-02, 1, 1146505.944784
130000, 3.90e-02, 1, 1168993.197928
130000, 3.88e-02, 1, 1168993.197928
130000, 3.90e-02, 1, 1168993.197928
132500, 3.96e-02, 1, 1191480.460746
132500, 3.95e-02, 1, 1191480.460746
132500, 3.98e-02, 1, 1191480.460746
135000, 4.01e-02, 1, 1213967.732734
135000, 4.03e-02, 1, 1213967.732734
135000, 4.02e-02, 1, 1213967.732734
137500, 4.06e-02, 1, 1236455.013426
137500, 4.09e-02, 1, 1236455.013426
137500, 4.07e-02, 1, 1236455.013426
140000, 4.13e-02, 1, 1258942.302385
140000, 4.11e-02, 1, 1258942.302385
140000, 4.10e-02, 1, 1258942.302385
142500, 4.21e-02, 1, 1281429.599201
142500, 4.18e-02, 1, 1281429.599201
142500, 4.18e-02, 1, 1281429.599201
145000, 4.25e-02, 1, 1303916.903495
145000, 4.24e-02, 1, 1303916.903495
145000, 4.26e-02, 1, 1303916.903495
147500, 4.31e-02, 1, 1326404.214908
147500, 4.32e-02, 1, 1326404.214908
147500, 4.29e-02, 1, 1326404.214908
150000, 4.41e-02, 1, 1348891.533106
150000, 4.41e-02, 1, 1348891.533106
150000, 4.39e-02, 1, 1348891.533106
152500, 4.51e-02, 1, 1371378.857774
152500, 4.49e-02, 1, 1371378.857774
152500, 4.46e-02, 1, 1371378.857774
155000, 4.55e-02, 1, 1393866.188617
155000, 4.55e-02, 1, 1393866.188617
155000, 4.55e-02, 1, 1393866.188617
157500, 4.58e-02, 1, 1416353.525358
157500, 4.59e-02, 1, 1416353.525358
157500, 4.55e-02, 1, 1416353.525358
160000, 4.65e-02, 1, 1438840.867736
160000, 4.61e-02, 1, 1438840.867736
160000, 4.63e-02, 1, 1438840.867736
162500, 4.68e-02, 1, 1461328.215505
162500, 4.67e-02, 1, 1461328.215505
162500, 4.67e-02, 1, 1461328.215505
165000, 4.74e-02, 1, 1483815.568433
165000, 4.72e-02, 1, 1483815.568433
165000, 4.73e-02, 1, 1483815.568433
167500, 4.80e-02, 1, 1506302.926302
167500, 4.79e-02, 1, 1506302.926302
167500, 4.80e-02, 1, 1506302.926302
170000, 4.81e-02, 1, 1528790.288904
170000, 4.83e-02, 1, 1528790.288904
170000, 4.81e-02, 1, 1528790.288904
172500, 4.88e-02, 1, 1551277.656045
172500, 4.89e-02, 1, 1551277.656045
172500, 4.90e-02, 1, 1551277.656045
175000, 4.91e-02, 1, 1573765.027541
175000, 4.92e-02, 1, 1573765.027541
175000, 4.93e-02, 1, 1573765.027541
177500, 4.42e-02, 1, 1596161.040131
177500, 4.42e-02, 1, 1596161.040131
177500, 4.44e-02, 1, 1596161.040131
180000, 4.48e-02, 1, 1618646.893800
180000, 4.47e-02, 1, 1618646.893800
180000, 4.47e-02, 1, 1618646.893800
182500, 4.50e-02, 1, 1641132.750593
182500, 4.48e-02, 1, 1641132.750593
182500, 4.50e-02, 1, 1641132.750593
185000, 4.53e-02, 1, 1663618.610388
185000, 4.55e-02, 1, 1663618.610388
185000, 4.54e-02, 1, 1663618.610388
187500, 4.57e-02, 1, 1686104.473069
187500, 4.59e-02, 1, 1686104.473069
187500, 4.58e-02, 1, 1686104.473069
190000, 4.63e-02, 1, 1708590.338527
190000, 4.63e-02, 1, 1708590.338527
190000, 4.63e-02, 1, 1708590.338527
192500, 4.69e-02, 1, 1731076.206658
192500, 4.66e-02, 1, 1731076.206658
192500, 4.67e-02, 1, 1731076.206658
195000, 4.72e-02, 1, 1753562.077364
195000, 4.72e-02, 1, 1753562.077364
195000, 4.72e-02, 1, 1753562.077364
197500, 4.75e-02, 1, 1776047.950550
197500, 4.77e-02, 1, 1776047.950550
197500, 4.75e-02, 1, 1776047.950550
200000, 4.82e-02, 1, 1798533.826126
200000, 4.82e-02, 1, 1798533.826126
200000, 4.78e-02, 1, 1798533.826126
202500, 4.85e-02, 1, 1821019.704009
202500, 4.85e-02, 1, 1821019.704009
