N, Time(Dense), Time(Sparse), Speedup, check dense, check sparse
500, 2.32e-04, 4.91e-06, 47.352821, 75.000000, 75.000000 
500, 2.25e-04, 3.89e-06, 57.970936, 75.000000, 75.000000 
500, 2.25e-04, 4.01e-06, 56.150449, 75.000000, 75.000000 
1000, 9.18e-04, 6.67e-06, 137.594485, 75.000000, 75.000000 
1000, 9.32e-04, 6.87e-06, 135.548378, 75.000000, 75.000000 
1000, 9.13e-04, 6.73e-06, 135.591564, 75.000000, 75.000000 
2000, 3.95e-03, 1.60e-05, 246.782378, 75.000000, 75.000000 
2000, 4.02e-03, 1.97e-05, 204.542664, 75.000000, 75.000000 
2000, 4.04e-03, 1.86e-05, 217.452249, 75.000000, 75.000000 
4000, 1.55e-02, 3.01e-05, 513.559745, 75.000000, 75.000000 
4000, 1.55e-02, 3.16e-05, 490.564526, 75.000000, 75.000000 
4000, 1.55e-02, 2.74e-05, 565.389749, 75.000000, 75.000000 
6000, 3.50e-02, 4.87e-05, 718.380925, 75.000000, 75.000000 
6000, 3.48e-02, 4.10e-05, 848.759784, 75.000000, 75.000000 
6000, 3.46e-02, 4.65e-05, 742.717619, 75.000000, 75.000000 
8000, 6.16e-02, 5.56e-05, 1107.731304, 75.000000, 75.000000 
8000, 6.19e-02, 5.79e-05, 1069.621928, 75.000000, 75.000000 
8000, 6.16e-02, 5.99e-05, 1028.323303, 75.000000, 75.000000 
10000, 9.63e-02, 7.31e-05, 1317.321869, 75.000000, 75.000000 
10000, 9.62e-02, 7.04e-05, 1366.663334, 75.000000, 75.000000 
10000, 9.62e-02, 6.64e-05, 1448.792296, 75.000000, 75.000000 
20000, 3.84e-01, 1.31e-04, 2940.802098, 75.000000, 75.000000 
20000, 3.83e-01, 1.74e-04, 2205.523502, 75.000000, 75.000000 
20000, 3.84e-01, 1.49e-04, 2581.476747, 75.000000, 75.000000 
30000, 8.63e-01, 1.91e-04, 4507.373166, 75.000000, 75.000000 
30000, 8.62e-01, 1.81e-04, 4774.235436, 75.000000, 75.000000 
30000, 8.63e-01, 1.90e-04, 4541.363084, 75.000000, 75.000000 
40000, 1.53e+00, 2.52e-04, 6086.962148, 75.000000, 75.000000 
40000, 1.53e+00, 2.56e-04, 5982.691138, 75.000000, 75.000000 
40000, 1.53e+00, 2.51e-04, 6116.694595, 75.000000, 75.000000 
50000, 2.39e+00, 3.06e-04, 7821.295313, 75.000000, 75.000000 
50000, 2.40e+00, 3.06e-04, 7817.206496, 75.000000, 75.000000 
50000, 2.40e+00, 3.32e-04, 7217.788267, 75.000000, 75.000000 
60000, 3.45e+00, 3.57e-04, 9672.803880, 75.000000, 75.000000 
60000, 3.45e+00, 3.52e-04, 9790.822593, 75.000000, 75.000000 
60000, 3.45e+00, 3.54e-04, 9759.732333, 75.000000, 75.000000 
