N, Time(Dense), Time(Sparse), Converged Dense?, Converged Sparse?, Eigenvalue Dense, EigenValue Sparse
100, 6.90e-03, 4.46e-03, 1, 1, 833.219765, 833.219765
100, 6.86e-03, 4.47e-03, 1, 1, 833.219765, 833.219765
100, 6.88e-03, 4.45e-03, 1, 1, 833.219765, 833.219765
500, 4.73e-02, 9.02e-03, 1, 1, 4384.743993, 4384.743993
500, 4.72e-02, 8.95e-03, 1, 1, 4384.743993, 4384.743993
500, 4.74e-02, 8.95e-03, 1, 1, 4384.743993, 4384.743993
1000, 1.32e-01, 1.12e-02, 1, 1, 8854.530320, 8854.530320
1000, 1.19e-01, 1.05e-02, 1, 1, 8854.530320, 8854.530320
1000, 1.17e-01, 1.04e-02, 1, 1, 8854.530320, 8854.530320
2000, 3.41e-01, 1.35e-02, 1, 1, 17816.516169, 17816.516169
2000, 3.05e-01, 1.34e-02, 1, 1, 17816.516169, 17816.516169
2000, 3.04e-01, 1.34e-02, 1, 1, 17816.516169, 17816.516169
3000, 5.30e-01, 1.52e-02, 1, 1, 26789.866767, 26789.866767
3000, 5.32e-01, 1.52e-02, 1, 1, 26789.866767, 26789.866767
3000, 5.31e-01, 1.53e-02, 1, 1, 26789.866767, 26789.866767
4000, 8.48e-01, 1.75e-02, 1, 1, 35768.656243, 35768.656243
4000, 8.51e-01, 1.73e-02, 1, 1, 35768.656243, 35768.656243
4000, 8.51e-01, 1.71e-02, 1, 1, 35768.656243, 35768.656243
5000, 1.17e+00, 1.71e-02, 1, 1, 44750.729311, 44750.729311
5000, 1.16e+00, 1.72e-02, 1, 1, 44750.729311, 44750.729311
5000, 1.17e+00, 1.72e-02, 1, 1, 44750.729311, 44750.729311
6000, 1.60e+00, 1.76e-02, 1, 1, 53735.032867, 53735.032867
6000, 1.60e+00, 1.73e-02, 1, 1, 53735.032867, 53735.032867
6000, 1.60e+00, 1.71e-02, 1, 1, 53735.032867, 53735.032867
7000, 2.26e+00, 1.92e-02, 1, 1, 62721.038789, 62721.038789
7000, 2.26e+00, 1.93e-02, 1, 1, 62721.038789, 62721.038789
7000, 2.26e+00, 1.92e-02, 1, 1, 62721.038789, 62721.038789
8000, 2.87e+00, 1.91e-02, 1, 1, 71708.253624, 71708.253624
8000, 2.87e+00, 1.91e-02, 1, 1, 71708.253624, 71708.253624
8000, 2.87e+00, 1.91e-02, 1, 1, 71708.253624, 71708.253624
9000, 3.49e+00, 1.92e-02, 1, 1, 80696.457883, 80696.457883
9000, 3.49e+00, 1.91e-02, 1, 1, 80696.457883, 80696.457883
9000, 3.49e+00, 1.92e-02, 1, 1, 80696.457883, 80696.457883
10000, 5.01e+00, 1.92e-02, 1, 1, 89685.464765, 89685.464765
10000, 5.01e+00, 1.92e-02, 1, 1, 89685.464765, 89685.464765
10000, 5.02e+00, 1.95e-02, 1, 1, 89685.464765, 89685.464765
11000, 6.47e+00, 2.16e-02, 1, 1, 98675.363648, 98675.363648
11000, 6.47e+00, 2.16e-02, 1, 1, 98675.363648, 98675.363648
11000, 6.48e+00, 2.20e-02, 1, 1, 98675.363648, 98675.363648
12000, 7.35e+00, 2.18e-02, 1, 1, 107665.667571, 107665.667571
12000, 7.37e+00, 2.20e-02, 1, 1, 107665.667571, 107665.667571
12000, 7.35e+00, 2.22e-02, 1, 1, 107665.667571, 107665.667571
1300, 1.75e-01, 1.16e-02, 1, 1, 11541.159272, 11541.159272
1300, 1.74e-01, 1.17e-02, 1, 1, 11541.159272, 11541.159272
1300, 1.74e-01, 1.16e-02, 1, 1, 11541.159272, 11541.159272
14000, 9.47e+00, 2.19e-02, 1, 1, 125647.669731, 125647.669731
14000, 9.51e+00, 2.22e-02, 1, 1, 125647.669731, 125647.669731
14000, 9.46e+00, 2.20e-02, 1, 1, 125647.669731, 125647.669731
15000, 1.06e+01, 2.20e-02, 1, 1, 134639.248150, 134639.248150
15000, 1.06e+01, 2.20e-02, 1, 1, 134639.248150, 134639.248150
15000, 1.06e+01, 2.19e-02, 1, 1, 134639.248150, 134639.248150
16000, 1.19e+01, 2.17e-02, 1, 1, 143631.149314, 143631.149314
16000, 1.19e+01, 2.24e-02, 1, 1, 143631.149314, 143631.149314
16000, 1.19e+01, 2.23e-02, 1, 1, 143631.149314, 143631.149314
17000, 1.32e+01, 2.21e-02, 1, 1, 152623.336313, 152623.336313
17000, 1.32e+01, 2.25e-02, 1, 1, 152623.336313, 152623.336313
17000, 1.32e+01, 2.20e-02, 1, 1, 152623.336313, 152623.336313
18000, 1.46e+01, 2.24e-02, 1, 1, 161615.778027, 161615.778027
18000, 1.46e+01, 2.23e-02, 1, 1, 161615.778027, 161615.778027
18000, 1.46e+01, 2.23e-02, 1, 1, 161615.778027, 161615.778027
19000, 1.74e+01, 2.26e-02, 1, 1, 170608.447966, 170608.447966
19000, 1.74e+01, 2.29e-02, 1, 1, 170608.447966, 170608.447966
19000, 1.74e+01, 2.31e-02, 1, 1, 170608.447966, 170608.447966
20000, 1.92e+01, 2.27e-02, 1, 1, 179601.323394, 179601.323394
20000, 1.92e+01, 2.29e-02, 1, 1, 179601.323394, 179601.323394
20000, 1.92e+01, 2.31e-02, 1, 1, 179601.323394, 179601.323394
