N, Time(Dense), Time(Sparse), Speedup, check dense, check sparse
500, 4.28e-05, 1.13e-05, 3.771116, 75.000000, 75.000000 
500, 4.19e-05, 1.14e-05, 3.675797, 75.000000, 75.000000 
500, 4.03e-05, 1.10e-05, 3.653069, 75.000000, 75.000000 
1000, 1.54e-04, 1.29e-05, 11.972427, 75.000000, 75.000000 
1000, 1.54e-04, 1.17e-05, 13.163849, 75.000000, 75.000000 
1000, 1.55e-04, 1.16e-05, 13.321613, 75.000000, 75.000000 
2000, 5.76e-04, 1.45e-05, 39.744310, 75.000000, 75.000000 
2000, 5.77e-04, 1.93e-05, 29.894025, 75.000000, 75.000000 
2000, 5.79e-04, 1.30e-05, 44.673717, 75.000000, 75.000000 
4000, 2.82e-03, 1.80e-05, 156.851570, 75.000000, 75.000000 
4000, 2.38e-03, 1.76e-05, 135.110504, 75.000000, 75.000000 
4000, 2.55e-03, 1.64e-05, 155.080745, 75.000000, 75.000000 
6000, 1.49e-02, 2.71e-05, 549.151743, 75.000000, 75.000000 
6000, 1.49e-02, 2.77e-05, 537.350956, 75.000000, 75.000000 
6000, 1.49e-02, 2.80e-05, 532.709795, 75.000000, 75.000000 
8000, 2.35e-02, 3.41e-05, 688.489329, 75.000000, 75.000000 
8000, 2.31e-02, 3.35e-05, 687.956317, 75.000000, 75.000000 
8000, 2.31e-02, 3.61e-05, 639.670897, 75.000000, 75.000000 
10000, 3.32e-02, 3.77e-05, 882.644850, 75.000000, 75.000000 
10000, 3.32e-02, 4.17e-05, 796.455622, 75.000000, 75.000000 
10000, 3.32e-02, 4.58e-05, 723.313131, 75.000000, 75.000000 
20000, 1.15e-01, 6.43e-05, 1790.669179, 75.000000, 75.000000 
20000, 1.15e-01, 5.65e-05, 2039.180891, 75.000000, 75.000000 
20000, 1.15e-01, 6.35e-05, 1817.683223, 75.000000, 75.000000 
30000, 2.51e-01, 9.32e-05, 2689.669150, 75.000000, 75.000000 
30000, 2.51e-01, 9.56e-05, 2627.243854, 75.000000, 75.000000 
30000, 2.51e-01, 9.39e-05, 2676.443266, 75.000000, 75.000000 
40000, 4.12e-01, 1.15e-04, 3601.549887, 75.000000, 75.000000 
40000, 4.19e-01, 1.17e-04, 3576.260492, 75.000000, 75.000000 
40000, 4.19e-01, 1.15e-04, 3629.190548, 75.000000, 75.000000 
50000, 6.16e-01, 1.41e-04, 4362.685203, 75.000000, 75.000000 
50000, 6.15e-01, 1.43e-04, 4289.570406, 75.000000, 75.000000 
50000, 6.16e-01, 1.45e-04, 4232.313566, 75.000000, 75.000000 
60000, 7.78e-01, 1.53e-04, 5086.690810, 75.000000, 75.000000 
60000, 7.79e-01, 1.48e-04, 5254.263679, 75.000000, 75.000000 
60000, 7.79e-01, 1.52e-04, 5131.346783, 75.000000, 75.000000 
