N, Time(Dense), Time(Sparse), Speedup, check dense, check sparse
500, 6.66e-05, 1.12e-05, 5.963477, 75.000000, 75.000000 
500, 6.64e-05, 9.87e-06, 6.724795, 75.000000, 75.000000 
500, 6.66e-05, 9.35e-06, 7.127514, 75.000000, 75.000000 
1000, 2.59e-04, 1.18e-05, 21.962125, 75.000000, 75.000000 
1000, 2.56e-04, 1.02e-05, 25.036266, 75.000000, 75.000000 
1000, 2.56e-04, 1.08e-05, 23.790827, 75.000000, 75.000000 
2000, 1.20e-03, 1.31e-05, 91.814543, 75.000000, 75.000000 
2000, 9.77e-04, 1.07e-05, 91.419044, 75.000000, 75.000000 
2000, 9.79e-04, 1.24e-05, 78.774370, 75.000000, 75.000000 
4000, 6.88e-03, 2.02e-05, 340.645883, 75.000000, 75.000000 
4000, 6.84e-03, 2.11e-05, 323.595031, 75.000000, 75.000000 
4000, 6.99e-03, 2.11e-05, 331.030365, 75.000000, 75.000000 
6000, 1.28e-02, 2.36e-05, 543.697185, 75.000000, 75.000000 
6000, 1.29e-02, 2.44e-05, 528.298806, 75.000000, 75.000000 
6000, 1.33e-02, 2.57e-05, 517.799915, 75.000000, 75.000000 
8000, 2.13e-02, 2.94e-05, 724.268418, 75.000000, 75.000000 
8000, 2.12e-02, 2.98e-05, 711.434149, 75.000000, 75.000000 
8000, 2.12e-02, 3.10e-05, 683.787254, 75.000000, 75.000000 
10000, 3.18e-02, 3.32e-05, 958.960746, 75.000000, 75.000000 
10000, 3.18e-02, 3.46e-05, 919.735481, 75.000000, 75.000000 
10000, 3.19e-02, 3.41e-05, 937.090738, 75.000000, 75.000000 
20000, 1.21e-01, 6.15e-05, 1973.974930, 75.000000, 75.000000 
20000, 1.21e-01, 5.73e-05, 2114.276648, 75.000000, 75.000000 
20000, 1.21e-01, 7.57e-05, 1601.465681, 75.000000, 75.000000 
30000, 2.66e-01, 8.84e-05, 3010.209783, 75.000000, 75.000000 
30000, 2.66e-01, 8.87e-05, 2998.072177, 75.000000, 75.000000 
30000, 2.66e-01, 1.06e-04, 2502.748362, 75.000000, 75.000000 
40000, 4.73e-01, 1.03e-04, 4602.339638, 75.000000, 75.000000 
40000, 4.73e-01, 1.19e-04, 3960.468431, 75.000000, 75.000000 
40000, 4.74e-01, 1.16e-04, 4095.648088, 75.000000, 75.000000 
50000, 7.28e-01, 1.62e-04, 4483.783874, 75.000000, 75.000000 
50000, 7.28e-01, 1.23e-04, 5926.623892, 75.000000, 75.000000 
50000, 7.28e-01, 1.41e-04, 5175.169144, 75.000000, 75.000000 
60000, 1.16e+00, 1.80e-04, 6454.936148, 75.000000, 75.000000 
60000, 1.16e+00, 1.79e-04, 6492.140002, 75.000000, 75.000000 
60000, 1.16e+00, 1.67e-04, 6958.066344, 75.000000, 75.000000 
