N, Time(Dense), Time(Sparse), Converged Dense?, Converged Sparse?, Eigenvalue Dense, EigenValue Sparse
100, 1.13e-02, 7.97e-03, 1, 1, 833.219765, 833.219765
100, 1.10e-02, 8.02e-03, 1, 1, 833.219765, 833.219765
100, 1.10e-02, 7.97e-03, 1, 1, 833.219765, 833.219765
500, 5.20e-02, 1.67e-02, 1, 1, 4384.743993, 4384.743993
500, 5.19e-02, 1.67e-02, 1, 1, 4384.743993, 4384.743993
500, 5.21e-02, 1.71e-02, 1, 1, 4384.743993, 4384.743993
1000, 1.25e-01, 2.15e-02, 1, 1, 8854.530320, 8854.530320
1000, 1.25e-01, 2.16e-02, 1, 1, 8854.530320, 8854.530320
1000, 1.25e-01, 2.15e-02, 1, 1, 8854.530320, 8854.530320
2000, 5.04e-01, 3.02e-02, 1, 1, 17816.516169, 17816.516169
2000, 5.04e-01, 3.06e-02, 1, 1, 17816.516169, 17816.516169
2000, 5.04e-01, 3.00e-02, 1, 1, 17816.516169, 17816.516169
3000, 7.69e-01, 3.52e-02, 1, 1, 26789.866767, 26789.866767
3000, 7.69e-01, 3.50e-02, 1, 1, 26789.866767, 26789.866767
3000, 7.70e-01, 3.51e-02, 1, 1, 26789.866767, 26789.866767
4000, 1.28e+00, 3.94e-02, 1, 1, 35768.656243, 35768.656243
4000, 1.28e+00, 3.94e-02, 1, 1, 35768.656243, 35768.656243
4000, 1.28e+00, 3.92e-02, 1, 1, 35768.656243, 35768.656243
5000, 1.38e+00, 3.90e-02, 1, 1, 44750.729311, 44750.729311
5000, 1.38e+00, 3.93e-02, 1, 1, 44750.729311, 44750.729311
5000, 1.38e+00, 3.91e-02, 1, 1, 44750.729311, 44750.729311
6000, 1.90e+00, 3.95e-02, 1, 1, 53735.032867, 53735.032867
6000, 1.90e+00, 3.94e-02, 1, 1, 53735.032867, 53735.032867
6000, 1.90e+00, 3.97e-02, 1, 1, 53735.032867, 53735.032867
7000, 2.08e+00, 4.41e-02, 1, 1, 62721.038789, 62721.038789
7000, 2.08e+00, 4.38e-02, 1, 1, 62721.038789, 62721.038789
7000, 2.08e+00, 4.33e-02, 1, 1, 62721.038789, 62721.038789
8000, 2.77e+00, 4.32e-02, 1, 1, 71708.253624, 71708.253624
8000, 2.77e+00, 4.32e-02, 1, 1, 71708.253624, 71708.253624
8000, 2.77e+00, 4.34e-02, 1, 1, 71708.253624, 71708.253624
9000, 2.65e+00, 4.43e-02, 1, 1, 80696.457883, 80696.457883
9000, 2.64e+00, 4.35e-02, 1, 1, 80696.457883, 80696.457883
9000, 2.65e+00, 4.41e-02, 1, 1, 80696.457883, 80696.457883
10000, 3.42e+00, 4.43e-02, 1, 1, 89685.464765, 89685.464765
10000, 3.42e+00, 4.43e-02, 1, 1, 89685.464765, 89685.464765
10000, 3.43e+00, 4.36e-02, 1, 1, 89685.464765, 89685.464765
11000, 3.53e+00, 4.86e-02, 1, 1, 98675.363648, 98675.363648
11000, 3.53e+00, 4.82e-02, 1, 1, 98675.363648, 98675.363648
11000, 3.53e+00, 4.90e-02, 1, 1, 98675.363648, 98675.363648
12000, 4.51e+00, 4.83e-02, 1, 1, 107665.667571, 107665.667571
12000, 4.51e+00, 4.80e-02, 1, 1, 107665.667571, 107665.667571
12000, 4.51e+00, 4.88e-02, 1, 1, 107665.667571, 107665.667571
1300, 1.70e-01, 2.62e-02, 1, 1, 11541.159272, 11541.159272
1300, 1.70e-01, 2.62e-02, 1, 1, 11541.159272, 11541.159272
1300, 1.69e-01, 2.58e-02, 1, 1, 11541.159272, 11541.159272
14000, 7.64e+00, 4.88e-02, 1, 1, 125647.669731, 125647.669731
14000, 7.64e+00, 4.91e-02, 1, 1, 125647.669731, 125647.669731
14000, 7.65e+00, 4.91e-02, 1, 1, 125647.669731, 125647.669731
15000, 6.16e+00, 4.84e-02, 1, 1, 134639.248150, 134639.248150
15000, 6.17e+00, 4.83e-02, 1, 1, 134639.248150, 134639.248150
15000, 6.26e+00, 4.85e-02, 1, 1, 134639.248150, 134639.248150
16000, 8.90e+00, 4.94e-02, 1, 1, 143631.149314, 143631.149314
16000, 8.91e+00, 4.86e-02, 1, 1, 143631.149314, 143631.149314
16000, 8.89e+00, 4.91e-02, 1, 1, 143631.149314, 143631.149314
17000, 7.98e+00, 4.84e-02, 1, 1, 152623.336313, 152623.336313
17000, 8.00e+00, 4.90e-02, 1, 1, 152623.336313, 152623.336313
17000, 8.00e+00, 4.89e-02, 1, 1, 152623.336313, 152623.336313
18000, 9.98e+00, 4.88e-02, 1, 1, 161615.778027, 161615.778027
18000, 9.99e+00, 4.90e-02, 1, 1, 161615.778027, 161615.778027
18000, 9.97e+00, 4.83e-02, 1, 1, 161615.778027, 161615.778027
19000, 8.73e+00, 4.84e-02, 1, 1, 170608.447966, 170608.447966
19000, 8.72e+00, 4.83e-02, 1, 1, 170608.447966, 170608.447966
19000, 8.74e+00, 4.82e-02, 1, 1, 170608.447966, 170608.447966
20000, 1.10e+01, 4.92e-02, 1, 1, 179601.323394, 179601.323394
20000, 1.10e+01, 4.88e-02, 1, 1, 179601.323394, 179601.323394
20000, 1.10e+01, 4.84e-02, 1, 1, 179601.323394, 179601.323394
