num_ranks,nx,ny,nz,fft_forward,fft_backward,total
1,128,128,128,2.3907E+02,1.3123E+02,3.7871E+02
2,128,128,128,1.3421E+02,7.2551E+01,2.1141E+02
4,128,128,128,7.1384E+01,3.8295E+01,1.1230E+02
8,128,128,128,4.3178E+01,2.3907E+01,6.8878E+01
16,128,128,128,2.5946E+01,1.4222E+01,4.1636E+01
32,128,128,128,1.7109E+01,9.3043E+00,2.7819E+01
64,128,128,128,9.8847E+00,5.0748E+00,1.5942E+01
128,128,128,128,4.9270E+00,2.4555E+00,8.1181E+00
256,128,128,128,3.6774E+00,1.5604E+00,5.9512E+00
