num_ranks,nx,ny,nz,fft_forward,fft_backward,total
1,128,128,128,1.9400E+01,1.0783E+01,3.1278E+01
2,128,128,128,1.1591E+01,6.1381E+00,1.8367E+01
4,128,128,128,5.6281E+00,2.9286E+00,8.9270E+00
8,128,128,128,3.4181E+00,1.8032E+00,5.4995E+00
16,128,128,128,2.0178E+00,1.0356E+00,3.2765E+00
32,128,128,128,1.2145E+00,6.2696E-01,2.0465E+00
64,128,128,128,9.2310E-01,4.1367E-01,1.5066E+00
128,128,128,128,5.6273E-01,2.5463E-01,9.6406E-01
256,128,128,128,7.7830E-01,2.9227E-01,1.2168E+00
