N, Time(Dense), Time(Sparse), Speedup, check dense, check sparse
500, 1.27e-04, 2.17e-05, 5.869924, 75.000000, 75.000000 
500, 1.28e-04, 2.03e-05, 6.301441, 75.000000, 75.000000 
500, 1.27e-04, 2.19e-05, 5.771006, 75.000000, 75.000000 
1000, 2.55e-04, 2.28e-05, 11.198252, 75.000000, 75.000000 
1000, 2.56e-04, 2.20e-05, 11.644573, 75.000000, 75.000000 
1000, 2.54e-04, 2.28e-05, 11.148905, 75.000000, 75.000000 
2000, 7.35e-04, 2.47e-05, 29.710070, 75.000000, 75.000000 
2000, 7.39e-04, 2.47e-05, 29.880047, 75.000000, 75.000000 
2000, 7.30e-04, 2.46e-05, 29.734970, 75.000000, 75.000000 
4000, 1.43e-03, 2.47e-05, 57.935434, 75.000000, 75.000000 
4000, 1.43e-03, 2.49e-05, 57.303443, 75.000000, 75.000000 
4000, 1.43e-03, 2.48e-05, 57.580998, 75.000000, 75.000000 
6000, 2.12e-03, 2.47e-05, 85.718715, 75.000000, 75.000000 
6000, 2.12e-03, 2.44e-05, 86.973255, 75.000000, 75.000000 
6000, 2.12e-03, 2.46e-05, 86.187849, 75.000000, 75.000000 
8000, 2.79e-03, 2.46e-05, 113.183931, 75.000000, 75.000000 
8000, 2.79e-03, 2.52e-05, 110.534161, 75.000000, 75.000000 
8000, 2.78e-03, 2.46e-05, 112.991737, 75.000000, 75.000000 
10000, 3.45e-03, 2.52e-05, 136.878182, 75.000000, 75.000000 
10000, 3.45e-03, 2.44e-05, 141.714039, 75.000000, 75.000000 
10000, 3.45e-03, 2.47e-05, 139.833057, 75.000000, 75.000000 
20000, 1.00e-02, 2.48e-05, 403.602614, 75.000000, 75.000000 
20000, 1.00e-02, 2.51e-05, 398.795442, 75.000000, 75.000000 
20000, 1.00e-02, 2.49e-05, 402.327140, 75.000000, 75.000000 
30000, 2.21e-02, 2.58e-05, 856.511696, 75.000000, 75.000000 
30000, 2.22e-02, 2.67e-05, 832.896364, 75.000000, 75.000000 
30000, 2.22e-02, 2.69e-05, 827.188038, 75.000000, 75.000000 
40000, 3.05e-02, 2.64e-05, 1152.103438, 75.000000, 75.000000 
40000, 3.04e-02, 2.78e-05, 1091.885948, 75.000000, 75.000000 
40000, 3.04e-02, 2.65e-05, 1149.145136, 75.000000, 75.000000 
50000, 5.20e-02, 2.68e-05, 1936.355152, 75.000000, 75.000000 
50000, 5.21e-02, 2.75e-05, 1897.947437, 75.000000, 75.000000 
50000, 5.21e-02, 2.74e-05, 1900.800854, 75.000000, 75.000000 
60000, 8.49e-02, 2.76e-05, 3077.596583, 75.000000, 75.000000 
60000, 8.49e-02, 2.68e-05, 3168.005226, 75.000000, 75.000000 
60000, 8.47e-02, 2.67e-05, 3171.656289, 75.000000, 75.000000 
