N, Time(Dense), Time(Sparse), Speedup, check dense, check sparse
500, 1.13e-04, 1.31e-05, 8.639685, 75.000000, 75.000000 
500, 1.07e-04, 1.32e-05, 8.122529, 75.000000, 75.000000 
500, 1.08e-04, 1.41e-05, 7.674366, 75.000000, 75.000000 
1000, 2.56e-04, 1.41e-05, 18.130020, 75.000000, 75.000000 
1000, 2.56e-04, 1.49e-05, 17.099217, 75.000000, 75.000000 
1000, 2.55e-04, 1.45e-05, 17.601695, 75.000000, 75.000000 
2000, 5.66e-04, 1.43e-05, 39.570959, 75.000000, 75.000000 
2000, 5.74e-04, 1.38e-05, 41.471642, 75.000000, 75.000000 
2000, 5.69e-04, 1.38e-05, 41.082894, 75.000000, 75.000000 
4000, 1.18e-03, 1.45e-05, 81.199213, 75.000000, 75.000000 
4000, 1.19e-03, 1.57e-05, 75.570974, 75.000000, 75.000000 
4000, 1.16e-03, 1.50e-05, 77.265392, 75.000000, 75.000000 
6000, 2.00e-03, 1.61e-05, 124.425182, 75.000000, 75.000000 
6000, 2.03e-03, 1.50e-05, 135.057892, 75.000000, 75.000000 
6000, 2.02e-03, 1.48e-05, 135.999663, 75.000000, 75.000000 
8000, 2.95e-03, 1.57e-05, 187.585544, 75.000000, 75.000000 
8000, 3.02e-03, 1.49e-05, 202.236761, 75.000000, 75.000000 
8000, 3.00e-03, 1.45e-05, 206.793856, 75.000000, 75.000000 
10000, 5.37e-03, 1.51e-05, 356.706230, 75.000000, 75.000000 
10000, 5.30e-03, 1.57e-05, 337.456796, 75.000000, 75.000000 
10000, 5.36e-03, 1.51e-05, 355.159594, 75.000000, 75.000000 
20000, 1.80e-02, 1.63e-05, 1102.513848, 75.000000, 75.000000 
20000, 1.77e-02, 1.57e-05, 1126.344588, 75.000000, 75.000000 
20000, 1.76e-02, 1.63e-05, 1083.476433, 75.000000, 75.000000 
30000, 4.09e-02, 1.80e-05, 2272.528954, 75.000000, 75.000000 
30000, 3.93e-02, 1.65e-05, 2391.034150, 75.000000, 75.000000 
30000, 3.91e-02, 1.64e-05, 2390.897525, 75.000000, 75.000000 
40000, 1.12e-01, 1.85e-05, 6055.640132, 75.000000, 75.000000 
40000, 1.12e-01, 1.75e-05, 6414.501174, 75.000000, 75.000000 
40000, 1.12e-01, 1.87e-05, 5973.151573, 75.000000, 75.000000 
50000, 3.46e-01, 2.07e-05, 16767.578710, 75.000000, 75.000000 
50000, 3.47e-01, 1.94e-05, 17908.217007, 75.000000, 75.000000 
50000, 3.47e-01, 2.07e-05, 16764.448016, 75.000000, 75.000000 
60000, 7.11e-01, 2.62e-05, 27162.932669, 75.000000, 75.000000 
60000, 7.04e-01, 2.08e-05, 33852.970960, 75.000000, 75.000000 
60000, 7.04e-01, 2.18e-05, 32233.049803, 75.000000, 75.000000 
