N, Time(Dense), Time(Sparse), Converged Dense?, Converged Sparse?, Eigenvalue Dense, EigenValue Sparse
100, 1.82e-02, 1.11e-02, 1, 1, 833.219765, 833.219765
100, 1.81e-02, 1.12e-02, 1, 1, 833.219765, 833.219765
100, 1.82e-02, 1.12e-02, 1, 1, 833.219765, 833.219765
500, 1.45e-01, 2.31e-02, 1, 1, 4384.743993, 4384.743993
500, 1.43e-01, 2.28e-02, 1, 1, 4384.743993, 4384.743993
500, 1.45e-01, 2.30e-02, 1, 1, 4384.743993, 4384.743993
1000, 7.00e-01, 2.97e-02, 1, 1, 8854.530320, 8854.530320
1000, 6.99e-01, 2.97e-02, 1, 1, 8854.530320, 8854.530320
1000, 6.99e-01, 2.99e-02, 1, 1, 8854.530320, 8854.530320
2000, 2.37e+00, 4.15e-02, 1, 1, 17816.516169, 17816.516169
2000, 2.38e+00, 5.77e-02, 1, 1, 17816.516169, 17816.516169
2000, 2.37e+00, 4.14e-02, 1, 1, 17816.516169, 17816.516169
3000, 3.80e+00, 4.75e-02, 1, 1, 26789.866767, 26789.866767
3000, 3.80e+00, 4.74e-02, 1, 1, 26789.866767, 26789.866767
3000, 3.80e+00, 4.75e-02, 1, 1, 26789.866767, 26789.866767
4000, 1.05e+01, 5.35e-02, 1, 1, 35768.656243, 35768.656243
4000, 1.06e+01, 5.28e-02, 1, 1, 35768.656243, 35768.656243
4000, 1.06e+01, 5.35e-02, 1, 1, 35768.656243, 35768.656243
5000, 7.66e+00, 5.34e-02, 1, 1, 44750.729311, 44750.729311
5000, 7.70e+00, 5.35e-02, 1, 1, 44750.729311, 44750.729311
5000, 7.67e+00, 5.34e-02, 1, 1, 44750.729311, 44750.729311
6000, 1.03e+01, 5.29e-02, 1, 1, 53735.032867, 53735.032867
6000, 1.02e+01, 5.37e-02, 1, 1, 53735.032867, 53735.032867
6000, 1.02e+01, 5.34e-02, 1, 1, 53735.032867, 53735.032867
7000, 1.26e+01, 5.97e-02, 1, 1, 62721.038789, 62721.038789
7000, 1.26e+01, 5.95e-02, 1, 1, 62721.038789, 62721.038789
7000, 1.26e+01, 5.94e-02, 1, 1, 62721.038789, 62721.038789
8000, 2.39e+01, 5.89e-02, 1, 1, 71708.253624, 71708.253624
8000, 2.38e+01, 5.94e-02, 1, 1, 71708.253624, 71708.253624
8000, 2.38e+01, 5.92e-02, 1, 1, 71708.253624, 71708.253624
9000, 1.68e+01, 5.96e-02, 1, 1, 80696.457883, 80696.457883
9000, 1.67e+01, 5.91e-02, 1, 1, 80696.457883, 80696.457883
9000, 1.67e+01, 5.91e-02, 1, 1, 80696.457883, 80696.457883
10000, 2.01e+01, 5.94e-02, 1, 1, 89685.464765, 89685.464765
10000, 2.01e+01, 5.90e-02, 1, 1, 89685.464765, 89685.464765
10000, 2.01e+01, 5.89e-02, 1, 1, 89685.464765, 89685.464765
11000, 2.33e+01, 6.61e-02, 1, 1, 98675.363648, 98675.363648
11000, 2.34e+01, 6.61e-02, 1, 1, 98675.363648, 98675.363648
11000, 2.33e+01, 6.59e-02, 1, 1, 98675.363648, 98675.363648
12000, 3.91e+01, 6.68e-02, 1, 1, 107665.667571, 107665.667571
12000, 3.92e+01, 6.60e-02, 1, 1, 107665.667571, 107665.667571
12000, 3.92e+01, 6.61e-02, 1, 1, 107665.667571, 107665.667571
1300, 1.18e+00, 3.58e-02, 1, 1, 11541.159272, 11541.159272
1300, 1.18e+00, 3.58e-02, 1, 1, 11541.159272, 11541.159272
1300, 1.18e+00, 3.57e-02, 1, 1, 11541.159272, 11541.159272
14000, 3.30e+01, 6.64e-02, 1, 1, 125647.669731, 125647.669731
14000, 3.30e+01, 6.64e-02, 1, 1, 125647.669731, 125647.669731
14000, 3.30e+01, 6.64e-02, 1, 1, 125647.669731, 125647.669731
15000, 3.74e+01, 6.74e-02, 1, 1, 134639.248150, 134639.248150
15000, 3.75e+01, 7.12e-02, 1, 1, 134639.248150, 134639.248150
15000, 3.75e+01, 6.64e-02, 1, 1, 134639.248150, 134639.248150
16000, 5.58e+01, 6.65e-02, 1, 1, 143631.149314, 143631.149314
16000, 5.57e+01, 6.64e-02, 1, 1, 143631.149314, 143631.149314
16000, 5.59e+01, 6.65e-02, 1, 1, 143631.149314, 143631.149314
17000, 5.14e+01, 6.74e-02, 1, 1, 152623.336313, 152623.336313
17000, 5.14e+01, 6.69e-02, 1, 1, 152623.336313, 152623.336313
17000, 5.11e+01, 6.72e-02, 1, 1, 152623.336313, 152623.336313
18000, 5.89e+01, 6.75e-02, 1, 1, 161615.778027, 161615.778027
18000, 5.92e+01, 6.81e-02, 1, 1, 161615.778027, 161615.778027
18000, 5.89e+01, 6.78e-02, 1, 1, 161615.778027, 161615.778027
19000, 6.70e+01, 6.77e-02, 1, 1, 170608.447966, 170608.447966
19000, 6.73e+01, 6.70e-02, 1, 1, 170608.447966, 170608.447966
19000, 6.62e+01, 6.78e-02, 1, 1, 170608.447966, 170608.447966
20000, 6.95e+01, 6.80e-02, 1, 1, 179601.323394, 179601.323394
20000, 6.99e+01, 6.76e-02, 1, 1, 179601.323394, 179601.323394
20000, 6.94e+01, 6.78e-02, 1, 1, 179601.323394, 179601.323394
