N, Time(Dense), Time(Sparse), Speedup, check dense, check sparse
500, 2.76e-05, 1.82e-05, 1.512092, 75.000000, 75.000000 
500, 2.63e-05, 1.78e-05, 1.471964, 75.000000, 75.000000 
500, 2.70e-05, 1.83e-05, 1.470778, 75.000000, 75.000000 
1000, 5.24e-05, 1.95e-05, 2.682841, 75.000000, 75.000000 
1000, 5.28e-05, 1.74e-05, 3.026886, 75.000000, 75.000000 
1000, 5.43e-05, 1.86e-05, 2.911831, 75.000000, 75.000000 
2000, 1.94e-04, 1.95e-05, 9.938954, 75.000000, 75.000000 
2000, 1.46e-04, 2.02e-05, 7.248116, 75.000000, 75.000000 
2000, 1.50e-04, 1.91e-05, 7.855543, 75.000000, 75.000000 
4000, 1.32e-03, 2.30e-05, 57.091170, 75.000000, 75.000000 
4000, 1.28e-03, 2.28e-05, 56.060923, 75.000000, 75.000000 
4000, 1.26e-03, 2.37e-05, 53.426579, 75.000000, 75.000000 
6000, 6.86e-03, 4.26e-05, 161.016056, 75.000000, 75.000000 
6000, 6.69e-03, 4.17e-05, 160.331703, 75.000000, 75.000000 
6000, 6.54e-03, 4.30e-05, 152.070415, 75.000000, 75.000000 
8000, 2.37e-02, 5.17e-05, 457.815402, 75.000000, 75.000000 
8000, 2.32e-02, 5.35e-05, 433.417160, 75.000000, 75.000000 
8000, 2.32e-02, 5.10e-05, 454.704586, 75.000000, 75.000000 
10000, 3.74e-02, 5.38e-05, 695.752597, 75.000000, 75.000000 
10000, 3.72e-02, 5.52e-05, 674.424918, 75.000000, 75.000000 
10000, 3.73e-02, 5.92e-05, 629.601411, 75.000000, 75.000000 
20000, 1.20e-01, 9.30e-05, 1293.859175, 75.000000, 75.000000 
20000, 1.20e-01, 9.61e-05, 1253.475862, 75.000000, 75.000000 
20000, 1.20e-01, 9.91e-05, 1212.376366, 75.000000, 75.000000 
30000, 2.53e-01, 1.26e-04, 2000.006942, 75.000000, 75.000000 
30000, 2.52e-01, 1.29e-04, 1951.430709, 75.000000, 75.000000 
30000, 2.66e-01, 1.36e-04, 1960.159579, 75.000000, 75.000000 
40000, 4.69e-01, 1.81e-04, 2594.509668, 75.000000, 75.000000 
40000, 5.57e-01, 1.87e-04, 2975.228862, 75.000000, 75.000000 
40000, 4.93e-01, 3.91e-04, 1262.355532, 75.000000, 75.000000 
50000, 8.14e-01, 2.38e-04, 3416.062930, 75.000000, 75.000000 
50000, 7.74e-01, 2.46e-04, 3149.809974, 75.000000, 75.000000 
50000, 1.06e+00, 2.59e-04, 4081.475055, 75.000000, 75.000000 
60000, 1.16e+00, 2.21e-04, 5231.779314, 75.000000, 75.000000 
60000, 1.03e+00, 1.79e-04, 5759.382657, 75.000000, 75.000000 
60000, 1.09e+00, 2.09e-04, 5223.608763, 75.000000, 75.000000 
