N, Time(Dense), Time(Sparse), Speedup, check dense, check sparse
500, 7.76e-05, 1.61e-05, 4.819322, 75.000000, 75.000000 
500, 7.84e-05, 1.65e-05, 4.736384, 75.000000, 75.000000 
500, 7.75e-05, 1.65e-05, 4.692778, 75.000000, 75.000000 
1000, 1.88e-04, 2.57e-05, 7.341140, 75.000000, 75.000000 
1000, 1.88e-04, 1.67e-05, 11.228911, 75.000000, 75.000000 
1000, 1.88e-04, 1.72e-05, 10.937787, 75.000000, 75.000000 
2000, 4.41e-04, 1.79e-05, 24.676489, 75.000000, 75.000000 
2000, 4.23e-04, 1.68e-05, 25.113037, 75.000000, 75.000000 
2000, 4.37e-04, 1.72e-05, 25.370009, 75.000000, 75.000000 
4000, 9.25e-04, 1.81e-05, 51.071082, 75.000000, 75.000000 
4000, 9.46e-04, 1.76e-05, 53.591136, 75.000000, 75.000000 
4000, 9.74e-04, 1.83e-05, 53.142405, 75.000000, 75.000000 
6000, 1.50e-03, 1.80e-05, 83.263940, 75.000000, 75.000000 
6000, 1.48e-03, 1.79e-05, 82.703263, 75.000000, 75.000000 
6000, 1.49e-03, 1.78e-05, 83.355397, 75.000000, 75.000000 
8000, 2.20e-03, 1.81e-05, 121.960494, 75.000000, 75.000000 
8000, 2.24e-03, 1.77e-05, 125.990025, 75.000000, 75.000000 
8000, 2.26e-03, 1.83e-05, 123.163920, 75.000000, 75.000000 
10000, 3.33e-03, 1.87e-05, 178.333440, 75.000000, 75.000000 
10000, 3.31e-03, 1.88e-05, 175.962998, 75.000000, 75.000000 
10000, 3.32e-03, 1.78e-05, 186.331145, 75.000000, 75.000000 
20000, 1.33e-02, 2.02e-05, 656.038834, 75.000000, 75.000000 
20000, 1.31e-02, 1.95e-05, 669.084896, 75.000000, 75.000000 
20000, 1.30e-02, 1.87e-05, 695.668625, 75.000000, 75.000000 
30000, 3.49e-02, 2.02e-05, 1725.266041, 75.000000, 75.000000 
30000, 3.51e-02, 2.05e-05, 1713.175302, 75.000000, 75.000000 
30000, 3.52e-02, 2.04e-05, 1728.704263, 75.000000, 75.000000 
