N,Time Sparse,Sparse Element Check
10000,1.44E-05,75
10000,1.39E-05,75
10000,1.47E-05,75
20000,1.55E-05,75
20000,1.56E-05,75
20000,1.53E-05,75
30000,1.62E-05,75
30000,1.62E-05,75
30000,1.60E-05,75
40000,1.70E-05,75
40000,1.78E-05,75
40000,1.73E-05,75
50000,1.72E-05,75
50000,1.80E-05,75
50000,1.87E-05,75
60000,1.88E-05,75
60000,1.89E-05,75
60000,1.96E-05,75
70000,1.99E-05,75
70000,1.97E-05,75
70000,2.05E-05,75
80000,2.20E-05,75
80000,2.19E-05,75
80000,2.37E-05,75
90000,2.54E-05,75
90000,2.42E-05,75
90000,2.48E-05,75
100000,2.73E-05,75
100000,2.82E-05,75
100000,2.86E-05,75
110000,3.14E-05,75
110000,3.18E-05,75
110000,3.17E-05,75
120000,3.54E-05,75
120000,3.54E-05,75
120000,3.63E-05,75
130000,3.88E-05,75
130000,3.84E-05,75
130000,3.91E-05,75
140000,4.10E-05,75
140000,4.22E-05,75
140000,4.12E-05,75
150000,4.45E-05,75
150000,4.35E-05,75
150000,4.34E-05,75
160000,4.59E-05,75
160000,4.60E-05,75
160000,4.60E-05,75
170000,4.82E-05,75
170000,4.88E-05,75
170000,4.76E-05,75
180000,5.04E-05,75
180000,4.93E-05,75
180000,5.00E-05,75
190000,5.16E-05,75
190000,5.15E-05,75
190000,5.15E-05,75
200000,5.28E-05,75
200000,5.38E-05,75
200000,5.34E-05,75
210000,5.90E-05,75
210000,5.43E-05,75
210000,5.47E-05,75
220000,5.63E-05,75
220000,5.65E-05,75
220000,5.59E-05,75
230000,6.44E-05,75
230000,5.88E-05,75
230000,5.87E-05,75
240000,6.04E-05,75
240000,5.98E-05,75
240000,6.00E-05,75
250000,6.21E-05,75
250000,6.10E-05,75
250000,6.15E-05,75
260000,6.23E-05,75
260000,6.28E-05,75
260000,6.29E-05,75
270000,6.42E-05,75
270000,6.35E-05,75
270000,6.37E-05,75
280000,6.46E-05,75
280000,6.53E-05,75
280000,6.51E-05,75
290000,6.62E-05,75
290000,6.65E-05,75
290000,6.72E-05,75
300000,6.88E-05,75
300000,6.96E-05,75
300000,6.79E-05,75
310000,7.11E-05,75
310000,7.07E-05,75
310000,6.93E-05,75
320000,7.34E-05,75
320000,7.04E-05,75
320000,7.11E-05,75
330000,7.28E-05,75
330000,7.19E-05,75
330000,7.26E-05,75
340000,7.32E-05,75
340000,7.42E-05,75
340000,7.32E-05,75
