N,Time Sparse,Sparse Element Check
350000,7.68E-05,75
350000,7.68E-05,75
350000,7.71E-05,75
360000,7.93E-05,75
360000,7.81E-05,75
360000,7.79E-05,75
370000,7.91E-05,75
370000,8.07E-05,75
370000,7.97E-05,75
380000,8.25E-05,75
380000,8.30E-05,75
380000,8.27E-05,75
390000,8.53E-05,75
390000,8.28E-05,75
390000,8.47E-05,75
400000,8.45E-05,75
400000,8.43E-05,75
400000,8.84E-05,75
410000,8.76E-05,75
410000,8.41E-05,75
410000,8.54E-05,75
420000,8.72E-05,75
420000,8.84E-05,75
420000,8.57E-05,75
430000,8.84E-05,75
430000,8.89E-05,75
430000,8.60E-05,75
440000,8.99E-05,75
440000,9.08E-05,75
440000,8.93E-05,75
450000,9.14E-05,75
450000,9.06E-05,75
450000,9.16E-05,75
460000,9.31E-05,75
460000,9.23E-05,75
460000,9.18E-05,75
470000,9.28E-05,75
470000,9.52E-05,75
470000,9.69E-05,75
480000,9.30E-05,75
480000,9.40E-05,75
480000,9.36E-05,75
490000,9.80E-05,75
490000,9.71E-05,75
490000,9.42E-05,75
500000,9.56E-05,75
500000,1.01E-04,75
500000,9.92E-05,75
510000,9.82E-05,75
510000,9.69E-05,75
510000,9.60E-05,75
520000,1.04E-04,75
520000,9.92E-05,75
520000,9.77E-05,75
530000,9.83E-05,75
530000,9.94E-05,75
530000,1.03E-04,75
540000,1.01E-04,75
540000,1.01E-04,75
540000,9.94E-05,75
550000,1.06E-04,75
550000,1.08E-04,75
550000,1.03E-04,75
560000,1.02E-04,75
560000,1.03E-04,75
560000,1.02E-04,75
570000,1.08E-04,75
570000,1.08E-04,75
570000,1.05E-04,75
580000,1.05E-04,75
580000,1.08E-04,75
580000,1.06E-04,75
590000,1.12E-04,75
590000,1.08E-04,75
590000,1.06E-04,75
600000,1.08E-04,75
600000,1.08E-04,75
600000,1.14E-04,75
610000,1.10E-04,75
610000,1.09E-04,75
610000,1.09E-04,75
620000,1.10E-04,75
620000,1.17E-04,75
620000,1.14E-04,75
630000,1.13E-04,75
630000,1.12E-04,75
630000,1.13E-04,75
640000,1.14E-04,75
640000,1.13E-04,75
640000,1.14E-04,75
650000,1.16E-04,75
650000,1.15E-04,75
650000,1.15E-04,75
660000,1.18E-04,75
660000,1.16E-04,75
660000,1.16E-04,75
670000,1.18E-04,75
670000,1.20E-04,75
670000,1.19E-04,75
680000,1.25E-04,75
680000,1.21E-04,75
680000,1.20E-04,75
690000,1.21E-04,75
690000,1.21E-04,75
690000,1.22E-04,75
700000,1.22E-04,75
700000,1.29E-04,75
700000,1.28E-04,75
710000,1.29E-04,75
710000,1.32E-04,75
710000,1.30E-04,75
720000,1.32E-04,75
720000,1.32E-04,75
720000,1.35E-04,75
730000,1.33E-04,75
730000,1.35E-04,75
730000,1.32E-04,75
740000,1.33E-04,75
740000,1.33E-04,75
740000,1.34E-04,75
750000,1.36E-04,75
750000,1.34E-04,75
750000,1.32E-04,75
760000,1.35E-04,75
760000,1.39E-04,75
760000,1.36E-04,75
770000,1.36E-04,75
770000,1.36E-04,75
770000,1.35E-04,75
780000,1.40E-04,75
780000,1.38E-04,75
780000,1.36E-04,75
790000,1.38E-04,75
790000,1.42E-04,75
790000,1.41E-04,75
800000,1.38E-04,75
800000,1.37E-04,75
800000,1.37E-04,75
810000,1.45E-04,75
810000,1.43E-04,75
810000,1.40E-04,75
820000,1.41E-04,75
820000,1.40E-04,75
820000,1.48E-04,75
830000,1.49E-04,75
830000,1.42E-04,75
830000,1.40E-04,75
840000,1.42E-04,75
840000,1.43E-04,75
840000,1.50E-04,75
850000,1.51E-04,75
850000,1.47E-04,75
850000,1.45E-04,75
860000,1.47E-04,75
860000,1.52E-04,75
860000,1.45E-04,75
870000,1.52E-04,75
870000,1.50E-04,75
870000,1.47E-04,75
880000,1.48E-04,75
880000,1.49E-04,75
880000,1.54E-04,75
890000,1.52E-04,75
890000,1.51E-04,75
890000,1.49E-04,75
900000,1.52E-04,75
900000,1.52E-04,75
900000,1.57E-04,75
910000,1.53E-04,75
910000,1.54E-04,75
910000,1.53E-04,75
920000,1.55E-04,75
920000,1.54E-04,75
920000,1.56E-04,75
930000,1.57E-04,75
930000,1.57E-04,75
930000,1.56E-04,75
940000,1.57E-04,75
940000,1.58E-04,75
940000,1.58E-04,75
950000,1.60E-04,75
950000,1.59E-04,75
950000,1.58E-04,75
960000,1.60E-04,75
960000,1.59E-04,75
960000,1.61E-04,75
970000,1.62E-04,75
970000,1.62E-04,75
970000,1.62E-04,75
980000,1.63E-04,75
980000,1.64E-04,75
980000,1.68E-04,75
990000,1.64E-04,75
990000,1.65E-04,75
990000,1.65E-04,75
1000000,1.67E-04,75
1000000,1.68E-04,75
1000000,1.66E-04,75
1010000,1.68E-04,75
1010000,1.68E-04,75
1010000,1.68E-04,75
1020000,1.68E-04,75
1020000,1.79E-04,75
1020000,1.68E-04,75
1030000,1.71E-04,75
1030000,1.71E-04,75
1030000,1.70E-04,75
1040000,1.73E-04,75
1040000,1.72E-04,75
1040000,1.76E-04,75
1050000,1.74E-04,75
1050000,1.74E-04,75
1050000,1.74E-04,75
1060000,1.75E-04,75
1060000,1.74E-04,75
1060000,1.75E-04,75
1070000,1.76E-04,75
1070000,1.77E-04,75
1070000,1.77E-04,75
1080000,1.78E-04,75
1080000,1.80E-04,75
1080000,1.78E-04,75
1090000,1.80E-04,75
1090000,1.79E-04,75
1090000,1.80E-04,75
1100000,1.81E-04,75
1100000,1.82E-04,75
1100000,1.81E-04,75
1110000,1.83E-04,75
1110000,1.82E-04,75
1110000,1.83E-04,75
1120000,1.84E-04,75
1120000,1.85E-04,75
1120000,1.84E-04,75
1130000,1.85E-04,75
1130000,1.86E-04,75
1130000,1.86E-04,75
1140000,1.86E-04,75
1140000,1.86E-04,75
1140000,1.86E-04,75
1150000,1.88E-04,75
1150000,1.88E-04,75
1150000,1.87E-04,75
1160000,1.91E-04,75
1160000,1.89E-04,75
1160000,1.90E-04,75
1170000,1.92E-04,75
1170000,1.91E-04,75
1170000,1.90E-04,75
1180000,1.92E-04,75
1180000,1.93E-04,75
1180000,1.93E-04,75
1190000,1.94E-04,75
1190000,1.93E-04,75
1190000,1.94E-04,75
1200000,1.95E-04,75
1200000,1.96E-04,75
1200000,1.96E-04,75
1210000,1.97E-04,75
1210000,1.98E-04,75
1210000,1.96E-04,75
1220000,1.99E-04,75
1220000,1.98E-04,75
1220000,1.99E-04,75
1230000,2.02E-04,75
1230000,2.02E-04,75
1230000,2.00E-04,75
1240000,2.07E-04,75
1240000,2.01E-04,75
1240000,2.01E-04,75
1250000,2.03E-04,75
1250000,2.02E-04,75
1250000,2.03E-04,75
1260000,2.05E-04,75
1260000,2.04E-04,75
1260000,2.05E-04,75
1270000,2.06E-04,75
1270000,2.06E-04,75
1270000,2.07E-04,75
1280000,2.08E-04,75
1280000,2.08E-04,75
1280000,2.08E-04,75
1290000,2.09E-04,75
1290000,2.09E-04,75
1290000,2.10E-04,75
1300000,2.10E-04,75
1300000,2.10E-04,75
1300000,2.09E-04,75
1310000,2.12E-04,75
1310000,2.11E-04,75
1310000,2.12E-04,75
1320000,2.15E-04,75
1320000,2.14E-04,75
1320000,2.14E-04,75
1330000,2.16E-04,75
1330000,2.16E-04,75
1330000,2.15E-04,75
1340000,2.17E-04,75
1340000,2.16E-04,75
1340000,2.16E-04,75
1350000,2.18E-04,75
1350000,2.18E-04,75
1350000,2.18E-04,75
1360000,2.19E-04,75
1360000,2.19E-04,75
1360000,2.20E-04,75
1370000,2.20E-04,75
1370000,2.21E-04,75
1370000,2.21E-04,75
1380000,2.23E-04,75
1380000,2.22E-04,75
1380000,2.23E-04,75
1390000,2.24E-04,75
1390000,2.23E-04,75
1390000,2.24E-04,75
1400000,2.26E-04,75
1400000,2.25E-04,75
1400000,2.25E-04,75
1410000,2.25E-04,75
1410000,2.26E-04,75
1410000,2.26E-04,75
1420000,2.27E-04,75
1420000,2.29E-04,75
1420000,2.29E-04,75
1430000,2.30E-04,75
1430000,2.30E-04,75
1430000,2.29E-04,75
1440000,2.32E-04,75
1440000,2.32E-04,75
1440000,2.30E-04,75
1450000,2.33E-04,75
1450000,2.32E-04,75
1450000,2.34E-04,75
1460000,2.35E-04,75
1460000,2.35E-04,75
1460000,2.34E-04,75
1470000,2.35E-04,75
1470000,2.36E-04,75
1470000,2.35E-04,75
1480000,2.37E-04,75
1480000,2.38E-04,75
1480000,2.39E-04,75
1490000,2.39E-04,75
1490000,2.39E-04,75
1490000,2.39E-04,75
1500000,2.40E-04,75
1500000,2.40E-04,75
1500000,2.41E-04,75
1510000,2.41E-04,75
1510000,2.41E-04,75
1510000,2.43E-04,75
1520000,2.47E-04,75
1520000,2.44E-04,75
1520000,2.44E-04,75
1530000,2.45E-04,75
1530000,2.44E-04,75
1530000,2.46E-04,75
1540000,2.46E-04,75
1540000,2.48E-04,75
1540000,2.47E-04,75
1550000,2.47E-04,75
1550000,2.47E-04,75
1550000,2.47E-04,75
1560000,2.50E-04,75
1560000,2.49E-04,75
1560000,2.50E-04,75
1570000,2.50E-04,75
1570000,2.51E-04,75
1570000,2.50E-04,75
1580000,2.52E-04,75
1580000,2.52E-04,75
1580000,2.51E-04,75
1590000,2.52E-04,75
1590000,2.53E-04,75
1590000,2.54E-04,75
1600000,2.54E-04,75
1600000,2.55E-04,75
1600000,2.55E-04,75
1610000,2.57E-04,75
1610000,2.56E-04,75
1610000,2.57E-04,75
1620000,2.57E-04,75
1620000,2.58E-04,75
1620000,2.58E-04,75
1630000,2.59E-04,75
1630000,2.60E-04,75
1630000,2.59E-04,75
1640000,2.61E-04,75
1640000,2.60E-04,75
1640000,2.61E-04,75
1650000,2.64E-04,75
1650000,2.63E-04,75
1650000,2.62E-04,75
1660000,2.64E-04,75
1660000,2.63E-04,75
1660000,2.64E-04,75
1670000,2.67E-04,75
1670000,2.65E-04,75
1670000,2.64E-04,75
1680000,2.66E-04,75
1680000,2.66E-04,75
1680000,2.67E-04,75
1690000,2.68E-04,75
1690000,2.68E-04,75
1690000,2.68E-04,75
1700000,2.70E-04,75
1700000,2.70E-04,75
1700000,2.69E-04,75
1710000,2.71E-04,75
1710000,2.70E-04,75
1710000,2.71E-04,75
1720000,2.73E-04,75
1720000,2.71E-04,75
1720000,2.71E-04,75
1730000,2.74E-04,75
1730000,2.74E-04,75
1730000,2.74E-04,75
1740000,2.76E-04,75
1740000,2.74E-04,75
1740000,2.76E-04,75
1750000,2.77E-04,75
1750000,2.76E-04,75
1750000,2.77E-04,75
1760000,2.79E-04,75
1760000,2.79E-04,75
1760000,2.79E-04,75
1770000,2.78E-04,75
1770000,2.80E-04,75
1770000,2.80E-04,75
1780000,2.81E-04,75
1780000,2.81E-04,75
1780000,2.80E-04,75
1790000,2.85E-04,75
1790000,2.83E-04,75
1790000,2.83E-04,75
1800000,2.83E-04,75
1800000,2.84E-04,75
1800000,2.86E-04,75
1810000,2.85E-04,75
1810000,2.86E-04,75
1810000,2.86E-04,75
1820000,2.87E-04,75
1820000,2.87E-04,75
1820000,2.88E-04,75
1830000,2.88E-04,75
1830000,2.88E-04,75
1830000,2.88E-04,75
1840000,2.90E-04,75
1840000,2.91E-04,75
1840000,2.92E-04,75
1850000,2.91E-04,75
1850000,2.92E-04,75
1850000,2.91E-04,75
1860000,2.93E-04,75
1860000,2.93E-04,75
1860000,2.93E-04,75
1870000,2.94E-04,75
1870000,2.96E-04,75
1870000,2.94E-04,75
1880000,3.00E-04,75
1880000,2.97E-04,75
1880000,2.97E-04,75
1890000,2.98E-04,75
1890000,2.98E-04,75
1890000,2.97E-04,75
1900000,2.99E-04,75
1900000,3.00E-04,75
1900000,2.99E-04,75
1910000,3.00E-04,75
1910000,3.01E-04,75
1910000,2.99E-04,75
1920000,3.03E-04,75
1920000,3.02E-04,75
1920000,3.01E-04,75
1930000,3.02E-04,75
1930000,3.03E-04,75
1930000,3.03E-04,75
1940000,3.06E-04,75
1940000,3.05E-04,75
1940000,3.04E-04,75
1950000,3.05E-04,75
1950000,3.05E-04,75
1950000,3.06E-04,75
1960000,3.08E-04,75
1960000,3.06E-04,75
1960000,3.09E-04,75
1970000,3.08E-04,75
1970000,3.09E-04,75
1970000,3.08E-04,75
1980000,3.19E-04,75
1980000,3.11E-04,75
1980000,3.11E-04,75
1990000,3.11E-04,75
1990000,3.12E-04,75
1990000,3.12E-04,75
