N, Time(Dense), Time(Sparse), Converged Dense?, Converged Sparse?, Eigenvalue Dense, EigenValue Sparse
100, 7.64e-03, 5.21e-03, 1, 1, 833.219765, 833.219765
100, 7.07e-03, 5.17e-03, 1, 1, 833.219765, 833.219765
100, 7.10e-03, 5.14e-03, 1, 1, 833.219765, 833.219765
500, 3.47e-02, 1.06e-02, 1, 1, 4384.743993, 4384.743993
500, 3.45e-02, 1.05e-02, 1, 1, 4384.743993, 4384.743993
500, 3.45e-02, 1.04e-02, 1, 1, 4384.743993, 4384.743993
1000, 1.05e-01, 1.23e-02, 1, 1, 8854.530320, 8854.530320
1000, 9.87e-02, 1.23e-02, 1, 1, 8854.530320, 8854.530320
1000, 9.74e-02, 1.23e-02, 1, 1, 8854.530320, 8854.530320
2000, 3.04e-01, 1.73e-02, 1, 1, 17816.516169, 17816.516169
2000, 3.04e-01, 1.69e-02, 1, 1, 17816.516169, 17816.516169
2000, 3.04e-01, 1.71e-02, 1, 1, 17816.516169, 17816.516169
3000, 4.91e-01, 1.95e-02, 1, 1, 26789.866767, 26789.866767
3000, 4.91e-01, 1.96e-02, 1, 1, 26789.866767, 26789.866767
3000, 4.91e-01, 1.95e-02, 1, 1, 26789.866767, 26789.866767
4000, 8.55e-01, 2.22e-02, 1, 1, 35768.656243, 35768.656243
4000, 8.51e-01, 2.20e-02, 1, 1, 35768.656243, 35768.656243
4000, 8.55e-01, 2.19e-02, 1, 1, 35768.656243, 35768.656243
5000, 9.25e-01, 2.18e-02, 1, 1, 44750.729311, 44750.729311
5000, 9.26e-01, 2.31e-02, 1, 1, 44750.729311, 44750.729311
5000, 9.27e-01, 2.21e-02, 1, 1, 44750.729311, 44750.729311
6000, 1.36e+00, 2.22e-02, 1, 1, 53735.032867, 53735.032867
6000, 1.36e+00, 2.23e-02, 1, 1, 53735.032867, 53735.032867
6000, 1.35e+00, 2.21e-02, 1, 1, 53735.032867, 53735.032867
7000, 1.58e+00, 2.50e-02, 1, 1, 62721.038789, 62721.038789
7000, 1.58e+00, 2.44e-02, 1, 1, 62721.038789, 62721.038789
7000, 1.58e+00, 2.45e-02, 1, 1, 62721.038789, 62721.038789
8000, 2.03e+00, 2.40e-02, 1, 1, 71708.253624, 71708.253624
8000, 2.03e+00, 2.37e-02, 1, 1, 71708.253624, 71708.253624
8000, 2.03e+00, 2.45e-02, 1, 1, 71708.253624, 71708.253624
9000, 2.40e+00, 2.46e-02, 1, 1, 80696.457883, 80696.457883
9000, 2.39e+00, 2.46e-02, 1, 1, 80696.457883, 80696.457883
9000, 2.39e+00, 2.48e-02, 1, 1, 80696.457883, 80696.457883
10000, 2.78e+00, 2.43e-02, 1, 1, 89685.464765, 89685.464765
10000, 2.78e+00, 2.47e-02, 1, 1, 89685.464765, 89685.464765
10000, 2.78e+00, 2.42e-02, 1, 1, 89685.464765, 89685.464765
11000, 4.95e+00, 2.79e-02, 1, 1, 98675.363648, 98675.363648
11000, 4.99e+00, 2.80e-02, 1, 1, 98675.363648, 98675.363648
11000, 4.99e+00, 2.74e-02, 1, 1, 98675.363648, 98675.363648
12000, 5.79e+00, 2.85e-02, 1, 1, 107665.667571, 107665.667571
12000, 5.79e+00, 2.68e-02, 1, 1, 107665.667571, 107665.667571
12000, 5.79e+00, 2.67e-02, 1, 1, 107665.667571, 107665.667571
1300, 2.01e-01, 1.47e-02, 1, 1, 11541.159272, 11541.159272
1300, 2.01e-01, 1.44e-02, 1, 1, 11541.159272, 11541.159272
1300, 2.01e-01, 1.45e-02, 1, 1, 11541.159272, 11541.159272
14000, 6.82e+00, 2.72e-02, 1, 1, 125647.669731, 125647.669731
14000, 6.81e+00, 2.80e-02, 1, 1, 125647.669731, 125647.669731
14000, 6.83e+00, 2.70e-02, 1, 1, 125647.669731, 125647.669731
15000, 7.34e+00, 2.73e-02, 1, 1, 134639.248150, 134639.248150
15000, 7.33e+00, 2.90e-02, 1, 1, 134639.248150, 134639.248150
15000, 7.38e+00, 2.78e-02, 1, 1, 134639.248150, 134639.248150
16000, 8.02e+00, 2.69e-02, 1, 1, 143631.149314, 143631.149314
16000, 8.01e+00, 2.70e-02, 1, 1, 143631.149314, 143631.149314
16000, 8.01e+00, 2.72e-02, 1, 1, 143631.149314, 143631.149314
17000, 8.61e+00, 2.75e-02, 1, 1, 152623.336313, 152623.336313
17000, 8.60e+00, 2.74e-02, 1, 1, 152623.336313, 152623.336313
17000, 8.59e+00, 2.77e-02, 1, 1, 152623.336313, 152623.336313
18000, 1.02e+01, 2.71e-02, 1, 1, 161615.778027, 161615.778027
18000, 1.02e+01, 2.70e-02, 1, 1, 161615.778027, 161615.778027
18000, 1.02e+01, 2.87e-02, 1, 1, 161615.778027, 161615.778027
19000, 1.02e+01, 2.70e-02, 1, 1, 170608.447966, 170608.447966
19000, 1.02e+01, 2.86e-02, 1, 1, 170608.447966, 170608.447966
19000, 1.02e+01, 2.74e-02, 1, 1, 170608.447966, 170608.447966
20000, 1.13e+01, 2.71e-02, 1, 1, 179601.323394, 179601.323394
20000, 1.13e+01, 2.71e-02, 1, 1, 179601.323394, 179601.323394
20000, 1.13e+01, 2.71e-02, 1, 1, 179601.323394, 179601.323394
